omitted_donor,rmspe_post,rmspe_pre,mean_gap_post,mean_gap_pre,outcome,post_pre_rmspe_ratio
MS,3784.762783350784,1819.8421076458064,-338.8226078198215,271.4468965544113,formal_hiring_balance,2.0797204150017436
PA,3137.8584166752166,1580.4539672743274,-582.1778165893824,222.0869884974365,formal_hiring_balance,1.9854158878710086
AP,3417.8139712419083,1798.6207445323735,-714.785496623025,372.63326172959574,formal_hiring_balance,1.9002416054811553
SC,3050.2873564689316,1686.2750998372214,-632.1607785156062,334.9228323686278,formal_hiring_balance,1.8088907063642108
ES,2998.117828453715,1690.5215089168487,-655.0655710402095,272.22056868600424,formal_hiring_balance,1.7734869462706035
MA,3007.4586348134553,1724.5856692860787,-616.6433664285838,344.9959707535926,formal_hiring_balance,1.7438731449383107
