outcome,donor_state,weight
retail_volume_index,MS,0.3683585029891846
retail_volume_index,PA,0.2979286491163185
retail_volume_index,ES,0.2276590146970253
retail_volume_index,AP,0.1060538331974697
retail_volume_index,PR,1.6926425004400508e-15
retail_volume_index,SE,1.7270366971881187e-16
retail_volume_index,DF,3.308809546100389e-17
retail_volume_index,RJ,9.203915600513016e-18
retail_volume_index,AC,0
retail_volume_index,AL,0
retail_volume_index,BA,0
retail_volume_index,CE,0
retail_volume_index,GO,0
retail_volume_index,MA,0
retail_volume_index,MG,0
retail_volume_index,MT,0
retail_volume_index,PB,0
retail_volume_index,PE,0
retail_volume_index,PI,0
retail_volume_index,RN,0
retail_volume_index,RO,0
retail_volume_index,RS,0
retail_volume_index,SC,0
retail_volume_index,SP,0
