period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2016-02-01,pre,-10085,-9540.32183134699,-544.6781686530103,formal_hiring_balance,AL,AL
2016-03-01,pre,-9872,-8903.973826232508,-968.0261737674919,formal_hiring_balance,AL,AL
2016-04-01,pre,-7102,-3711.2895347334165,-3390.7104652665835,formal_hiring_balance,AL,AL
2016-05-01,pre,-813,-2920.114215170931,2107.114215170931,formal_hiring_balance,AL,AL
2016-06-01,pre,-904,-2560.576197384107,1656.5761973841072,formal_hiring_balance,AL,AL
2016-07-01,pre,-1548,-3327.6218394271723,1779.6218394271723,formal_hiring_balance,AL,AL
2016-08-01,pre,4099,5172.677816592575,-1073.6778165925753,formal_hiring_balance,AL,AL
2016-09-01,pre,13395,9317.64791335954,4077.3520866404597,formal_hiring_balance,AL,AL
2016-10-01,pre,5832,-1317.0484969961735,7149.0484969961735,formal_hiring_balance,AL,AL
2016-11-01,pre,284,-1926.6475460401687,2210.647546040169,formal_hiring_balance,AL,AL
2016-12-01,pre,-1993,-11623.648850820304,9630.648850820304,formal_hiring_balance,AL,AL
2017-01-01,pre,-6706,-7410.990766131379,704.9907661313791,formal_hiring_balance,AL,AL
2017-02-01,pre,-11403,-9484.553431070524,-1918.4465689294757,formal_hiring_balance,AL,AL
2017-03-01,pre,-9335,-3440.457456934119,-5894.5425430658815,formal_hiring_balance,AL,AL
2017-04-01,pre,-4008,-558.2368276584137,-3449.763172341586,formal_hiring_balance,AL,AL
2017-05-01,pre,-151,-207.7511073133892,56.75110731338921,formal_hiring_balance,AL,AL
2017-06-01,pre,-156,1678.7800560967908,-1834.7800560967908,formal_hiring_balance,AL,AL
2017-07-01,pre,-141,369.17165348843736,-510.17165348843736,formal_hiring_balance,AL,AL
2017-08-01,pre,-424,2996.7773495463334,-3420.7773495463334,formal_hiring_balance,AL,AL
2017-09-01,pre,7411,8604.273934244982,-1193.2739342449822,formal_hiring_balance,AL,AL
2017-10-01,pre,16393,7622.8847262467925,8770.115273753207,formal_hiring_balance,AL,AL
2017-11-01,pre,1468,566.6929398928964,901.3070601071036,formal_hiring_balance,AL,AL
2017-12-01,pre,-1272,-7023.228605100308,5751.228605100308,formal_hiring_balance,AL,AL
2018-01-01,pre,-2189,-1693.2687917495277,-495.73120825047226,formal_hiring_balance,AL,AL
2018-02-01,pre,-10698,-3305.2629230485895,-7392.737076951411,formal_hiring_balance,AL,AL
2018-03-01,pre,-6999,-6329.858980990803,-669.1410190091974,formal_hiring_balance,AL,AL
2018-04-01,pre,-2565,359.25146543147054,-2924.2514654314705,formal_hiring_balance,AL,AL
2018-05-01,pre,415,-51.322323136942295,466.3223231369423,formal_hiring_balance,AL,AL
2018-06-01,pre,-134,-205.94489776316416,71.94489776316416,formal_hiring_balance,AL,AL
2018-07-01,pre,1134,-185.74256208000503,1319.742562080005,formal_hiring_balance,AL,AL
2018-08-01,pre,3890,6857.666618535788,-2967.666618535788,formal_hiring_balance,AL,AL
2018-09-01,pre,15179,14398.896539468244,780.1034605317564,formal_hiring_balance,AL,AL
2018-10-01,pre,3378,828.008979252676,2549.991020747324,formal_hiring_balance,AL,AL
2018-11-01,pre,211,1771.190287196334,-1560.190287196334,formal_hiring_balance,AL,AL
2019-01-01,post,-5034,-3196.3241469882364,-1837.6758530117636,formal_hiring_balance,AL,AL
2019-02-01,post,-2255,-5924.642858899786,3669.642858899786,formal_hiring_balance,AL,AL
2019-03-01,post,-9636,-4291.072318577427,-5344.927681422573,formal_hiring_balance,AL,AL
2019-04-01,post,-4692,981.1424551653924,-5673.142455165393,formal_hiring_balance,AL,AL
2019-05-01,post,-746,942.8557413585504,-1688.8557413585504,formal_hiring_balance,AL,AL
2019-06-01,post,-861,17.1532484764941,-878.1532484764941,formal_hiring_balance,AL,AL
2019-07-01,post,1470,70.38199823814753,1399.6180017618524,formal_hiring_balance,AL,AL
2019-08-01,post,3498,6395.303069243768,-2897.303069243768,formal_hiring_balance,AL,AL
2019-09-01,post,16529,12497.05335696922,4031.9466430307803,formal_hiring_balance,AL,AL
2019-10-01,post,2290,4810.582320520821,-2520.5823205208208,formal_hiring_balance,AL,AL
2019-11-01,post,1327,3168.2237584885124,-1841.2237584885124,formal_hiring_balance,AL,AL
2019-12-01,post,-1159,-5416.498852460789,4257.498852460789,formal_hiring_balance,AL,AL
2020-01-01,post,-5042,2091.496777376095,-7133.4967773760945,formal_hiring_balance,AL,AL
2020-02-01,post,-8484,790.3787246719877,-9274.378724671988,formal_hiring_balance,AL,AL
2020-03-01,post,-6139,-18847.247307983576,12708.247307983576,formal_hiring_balance,AL,AL
2020-04-01,post,-8683,-25390.27374774814,16707.27374774814,formal_hiring_balance,AL,AL
2020-05-01,post,-3096,-8907.27933919924,5811.27933919924,formal_hiring_balance,AL,AL
2020-06-01,post,447,-3046.4267500236438,3493.4267500236438,formal_hiring_balance,AL,AL
2020-07-01,post,1425,3763.5988535172473,-2338.5988535172473,formal_hiring_balance,AL,AL
2020-08-01,post,3340,8379.266823215336,-5039.2668232153355,formal_hiring_balance,AL,AL
