placebo_state,post,pre,post_pre_rmspe_ratio
RS,4.972272748457225,1.8349334329300249,2.7097837225176566
AL,10.58663633782421,4.462556063873853,2.3723256775477166
MA,5.267122760886499,2.6104129461845065,2.017735457750145
PA,4.280291515126912,2.4128665482961233,1.7739445715095576
MG,3.711128283277388,2.093209474185381,1.7729368842655635
AP,7.535237349301024,4.255251582942922,1.7708088940042581
ES,4.893867788604671,2.810752889344907,1.7411234574040653
MS,4.982612914920875,3.079304615621939,1.6180967903087813
AC,5.77669536114713,4.105655914531096,1.407009131160199
RO,13.82520151198859,9.866986891214534,1.4011573811148377
SC,3.551934924662983,2.734102560391736,1.2991227820488453
PB,2.298615349590064,1.8225470954066907,1.2612103991074872
PR,4.234787632812168,3.461369118210949,1.223442946472282
SP,3.5785282873951467,3.0764047744324854,1.1632176354476274
RN,5.217439172921589,4.537616482815698,1.1498193363587317
DF,5.677642272249236,5.296359283499543,1.0719896382289538
PE,1.890342398539832,1.8532213512406441,1.0200305523537905
GO,1.6257994017850836,1.6242647745120342,1.0009448134916985
BA,3.0716280581746234,3.07068193445478,1.0003081151809399
MT,10.290343208001167,10.897376051596513,0.9442955037321655
RJ,2.5824751077694508,2.765417163066288,0.9338464887901429
SE,3.1903216648512607,3.4372374585620933,0.9281644644318157
CE,3.964457382917903,4.563231043887864,0.8687829620698304
PI,4.070913098866581,7.475693551263661,0.5445532338840254
