omitted_donor,rmspe_post,rmspe_pre,mean_gap_post,mean_gap_pre,outcome,post_pre_rmspe_ratio
MG,8.855687777747294,6.203943153617454,-7.687021384890859,-3.148214470059235,services_volume_index,1.4274289042419153
SP,7.465161174200591,6.220679197268175,-5.903183537939851,-2.6462902258971255,services_volume_index,1.2000556430363638
PA,7.416499265854779,6.181684041464574,-5.793014043496418,-2.084963631206961,services_volume_index,1.199753856086383
SC,7.074512649389621,6.318649245679058,-5.431601450513595,-2.5804844993205434,services_volume_index,1.1196242067444164
