placebo_state,post,pre,post_pre_rmspe_ratio
PI,11.39448600805524,2.9459065364966652,3.867904791577606
BA,6.4259436310706635,2.4197475038172396,2.6556256886032545
AL,4.399647187102269,1.9133605961321372,2.2994344066644654
MS,5.428973487295531,2.377131153814347,2.2838342253788544
RS,3.711397012506201,1.9669145910083934,1.8869131529516237
MG,3.488508102436197,1.9689302537918996,1.7717784038910425
RN,4.304722852885066,2.9021790535268077,1.4832726628819983
AC,3.1870046574481288,2.2253087995317005,1.43216287920077
PB,5.2205139787279045,3.7341333083432793,1.3980523852920739
ES,3.656317229335513,2.687856324454902,1.3603097740267107
PA,5.101579009329252,3.825695429671932,1.3335036996833625
SP,2.3178527432974767,1.8003329394283643,1.2874578321237813
RJ,3.1443090534655442,2.4696684448691344,1.2731705180903983
RO,3.8672396812395484,3.0920566682321016,1.2507014250326343
CE,2.93899028911931,2.480535209806716,1.1848210327755504
MA,2.7649410751213432,2.359842053219866,1.1716636167868708
SE,4.0757219389225945,3.6939961323901453,1.1033368181372347
PE,1.6875273448356902,1.6881335203933632,0.9996409196604711
DF,3.9788952193638,4.222682890700826,0.9422671136698676
SC,5.592661662229282,6.01919214540342,0.929138250969466
AP,5.1143863213799765,5.618462644824507,0.9102821616320855
PR,1.969867041316429,2.2896409328315763,0.8603388474892061
MT,2.6672211574520546,3.2037235967586275,0.8325378506905589
GO,2.8663092206805634,3.6148318838987383,0.7929301590615428
