period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2016-01-01,pre,100.43799,108.46461807303236,-8.026628073032356,services_volume_index,AC,AC
2016-02-01,pre,99.63817,105.7591865033638,-6.121016503363791,services_volume_index,AC,AC
2016-03-01,pre,109.13626,109.94434495906758,-0.8080849590675854,services_volume_index,AC,AC
2016-04-01,pre,109.43939,108.36158344122548,1.077806558774526,services_volume_index,AC,AC
2016-05-01,pre,108.05708,110.84876864468228,-2.7916886446822815,services_volume_index,AC,AC
2016-06-01,pre,119.59048,111.00885821436918,8.581621785630816,services_volume_index,AC,AC
2016-07-01,pre,106.73125,109.55536872729246,-2.8241187272924577,services_volume_index,AC,AC
2016-08-01,pre,112.64436,109.60358973495184,3.0407702650481667,services_volume_index,AC,AC
2016-09-01,pre,106.37987,106.29757472289731,0.08229527710268769,services_volume_index,AC,AC
2016-10-01,pre,110.67923,106.70439426066908,3.9748357393309277,services_volume_index,AC,AC
2016-11-01,pre,107.21094,107.68135311369005,-0.4704131136900571,services_volume_index,AC,AC
2016-12-01,pre,109.94602,109.06510986759542,0.8809101324045798,services_volume_index,AC,AC
2017-01-01,pre,97.06624,106.31870572267113,-9.252465722671133,services_volume_index,AC,AC
2017-02-01,pre,100.17359,94.81215750481331,5.3614324951866905,services_volume_index,AC,AC
2017-03-01,pre,104.66121,103.64771030974127,1.013499690258726,services_volume_index,AC,AC
2017-04-01,pre,105.09565,98.05537652203226,7.0402734779677445,services_volume_index,AC,AC
2017-05-01,pre,104.76609,103.63753748897508,1.128552511024921,services_volume_index,AC,AC
2017-06-01,pre,104.88498,102.90972775457269,1.9752522454273134,services_volume_index,AC,AC
2017-07-01,pre,100.67684,102.35698723503768,-1.6801472350376798,services_volume_index,AC,AC
2017-08-01,pre,107.84475,102.88575731327393,4.958992686726077,services_volume_index,AC,AC
2017-09-01,pre,101.40657,101.22785448083357,0.17871551916643114,services_volume_index,AC,AC
2017-10-01,pre,97.39438,98.36322156797549,-0.9688415679754883,services_volume_index,AC,AC
2017-11-01,pre,106.55076,101.15938164575977,5.391378354240231,services_volume_index,AC,AC
2017-12-01,pre,112.16648,107.72945893305423,4.437021066945775,services_volume_index,AC,AC
2018-01-01,pre,89.96431,95.06739773964746,-5.103087739647464,services_volume_index,AC,AC
2018-02-01,pre,98.51577,93.0183777803244,5.4973922196756035,services_volume_index,AC,AC
2018-03-01,pre,95.84375,100.17650174192059,-4.332751741920589,services_volume_index,AC,AC
2018-04-01,pre,91.16418,95.25603717669536,-4.091857176695356,services_volume_index,AC,AC
2018-05-01,pre,101.12179,97.96698878714874,3.154801212851268,services_volume_index,AC,AC
2018-06-01,pre,99.28391,98.98287950989784,0.3010304901021641,services_volume_index,AC,AC
2018-07-01,pre,96.75748,98.78509323948944,-2.0276132394894404,services_volume_index,AC,AC
2018-08-01,pre,98.50659,101.74092355819333,-3.2343335581933275,services_volume_index,AC,AC
2018-09-01,pre,94.96495,95.66826751356007,-0.7033175135600658,services_volume_index,AC,AC
2018-10-01,pre,96.73875,98.49286847114675,-1.7541184711467537,services_volume_index,AC,AC
2018-11-01,pre,96.03929,97.93055516726523,-1.8912651672652316,services_volume_index,AC,AC
2019-01-01,post,78.5831,91.13357940910434,-12.55047940910434,services_volume_index,AC,AC
2019-02-01,post,84.78227,88.37000947491036,-3.5877394749103644,services_volume_index,AC,AC
2019-03-01,post,86.5791,92.15085372263641,-5.571753722636416,services_volume_index,AC,AC
2019-04-01,post,89.23868,92.27847287642639,-3.0397928764263895,services_volume_index,AC,AC
2019-05-01,post,94.06883,95.81612091342072,-1.7472909134207129,services_volume_index,AC,AC
2019-06-01,post,85.92268,90.4349717398915,-4.512291739891495,services_volume_index,AC,AC
2019-07-01,post,94.61364,98.0741117812003,-3.4604717812002974,services_volume_index,AC,AC
2019-08-01,post,89.5001,96.39083355376029,-6.890733553760285,services_volume_index,AC,AC
2019-09-01,post,95.03111,92.50076109523113,2.5303489047688714,services_volume_index,AC,AC
2019-10-01,post,91.71088,97.10000541783964,-5.389125417839637,services_volume_index,AC,AC
2019-11-01,post,93.8073,95.67616728613856,-1.868867286138567,services_volume_index,AC,AC
2019-12-01,post,102.64815,100.59917662410159,2.048973375898413,services_volume_index,AC,AC
2020-01-01,post,77.23013,89.54969165352229,-12.319561653522285,services_volume_index,AC,AC
2020-02-01,post,95.38371,86.49229709402063,8.891412905979365,services_volume_index,AC,AC
2020-03-01,post,85.90049,86.62562305043312,-0.725133050433115,services_volume_index,AC,AC
2020-04-01,post,68.96264,72.75987010144085,-3.79723010144086,services_volume_index,AC,AC
2020-05-01,post,69.66938,73.36875040433362,-3.699370404333621,services_volume_index,AC,AC
2020-06-01,post,74.66947,77.39962154650702,-2.7301515465070167,services_volume_index,AC,AC
2020-07-01,post,76.58003,80.57750892776649,-3.997478927766494,services_volume_index,AC,AC
2020-08-01,post,86.94311,85.6433565040784,1.2997534959216068,services_volume_index,AC,AC
2020-09-01,post,86.58186,89.07041142597838,-2.488551425978372,services_volume_index,AC,AC
2020-10-01,post,81.4422,89.01373977580148,-7.571539775801483,services_volume_index,AC,AC
2020-11-01,post,95.80736,89.65541451884634,6.1519454811536605,services_volume_index,AC,AC
2020-12-01,post,108.77944,99.93312638283818,8.846313617161812,services_volume_index,AC,AC
2016-01-01,pre,105.69425,98.67740613073337,7.016843869266623,services_volume_index,AL,AL
2016-02-01,pre,98.93328,96.78653025255846,2.1467497474415325,services_volume_index,AL,AL
2016-03-01,pre,101.01723,99.50902622344051,1.5082037765594833,services_volume_index,AL,AL
2016-04-01,pre,92.78911,96.07296248551589,-3.2838524855158937,services_volume_index,AL,AL
2016-05-01,pre,94.76352,96.19386376348663,-1.4303437634866327,services_volume_index,AL,AL
2016-06-01,pre,94.85016,95.83114663664918,-0.9809866366491775,services_volume_index,AL,AL
2016-07-01,pre,94.49898,97.79775158332524,-3.298771583325234,services_volume_index,AL,AL
2016-08-01,pre,94.29408,95.92964664606765,-1.6355666460676588,services_volume_index,AL,AL
2016-09-01,pre,92.68072,96.41075741915348,-3.73003741915349,services_volume_index,AL,AL
