state_abbrev,state_name,macroregion,uf,period_date,year,month,formal_hiring_balance,formal_hiring_balance_construction,retail_volume_index,services_volume_index,quarter,pnadc_population,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,formal_hiring_balance_per_100k_wap,formal_hiring_balance_construction_per_100k_wap,instability_start_date,removal_date,formal_hiring_balance_per_100k_wap_ma6_v4,formal_hiring_balance_construction_per_100k_wap_ma6_v4,retail_volume_index_ma6_v4,services_volume_index_ma6_v4
AC,Acre,North,12,2015-11-01,2015,11,-140,-279,100,100,4,575000,FALSE,TRUE,FALSE,,pre,-24.347826086956523,-48.52173913043478,2018-11-07,2018-12-10,,,,
AC,Acre,North,12,2015-12-01,2015,12,207,-549,134.48559127821378,106.14320200927054,4,575000,FALSE,TRUE,FALSE,,pre,36,-95.47826086956522,2018-11-07,2018-12-10,,,,
AC,Acre,North,12,2016-01-01,2016,1,105,-228,98.43620941947049,91.37165573411372,1,574000,FALSE,TRUE,FALSE,,pre,18.29268292682927,-39.721254355400696,2018-11-07,2018-12-10,,,,
AC,Acre,North,12,2016-02-01,2016,2,136,-11,90.61728223600514,90.64403386823152,1,574000,FALSE,TRUE,FALSE,,pre,23.693379790940767,-1.916376306620209,2018-11-07,2018-12-10,,,,
AC,Acre,North,12,2016-03-01,2016,3,10,-85,95.7201608940605,99.28475048961778,1,574000,FALSE,TRUE,FALSE,,pre,1.7421602787456445,-14.80836236933798,2018-11-07,2018-12-10,,,,
AC,Acre,North,12,2016-04-01,2016,4,-126,12,94.4032873230022,99.56051755746414,2,582000,FALSE,TRUE,FALSE,,pre,-21.649484536082475,2.0618556701030926,2018-11-07,2018-12-10,5.62181872891278,-33.064022893542635,102.27708852512535,97.83402660978295
AC,Acre,North,12,2016-05-01,2016,5,8,15,96.95473308182545,98.30298588605353,2,582000,FALSE,TRUE,FALSE,,pre,1.3745704467353952,2.577319587628866,2018-11-07,2018-12-10,9.908884817861434,-24.54751310719869,101.76954403876293,97.55119092412521
AC,Acre,North,12,2016-06-01,2016,6,325,258,91.93415580706345,108.7952891892541,2,582000,FALSE,TRUE,FALSE,,pre,55.84192439862543,44.329896907216494,2018-11-07,2018-12-10,13.215872217632338,-1.246153477735072,94.67763812690454,97.99320545412246
AC,Acre,North,12,2016-07-01,2016,7,46,102,97.8600740172347,97.09683587924873,3,588000,FALSE,TRUE,FALSE,,pre,7.8231292517006805,17.346938775510203,2018-11-07,2018-12-10,11.470946605110907,8.26521204408341,94.58161555986524,98.9474021449783
AC,Acre,North,12,2016-08-01,2016,8,16,-143,92.18107281653465,102.4761813961985,3,588000,FALSE,TRUE,FALSE,,pre,2.7210884353741496,-24.31972789115646,2018-11-07,2018-12-10,7.975564712516471,4.531320113327369,94.84224732328683,100.9194267329728
AC,Acre,North,12,2016-09-01,2016,9,-6,22,86.91357853230143,96.77717424133807,3,588000,FALSE,TRUE,FALSE,,pre,-1.0204081632653061,3.741496598639456,2018-11-07,2018-12-10,7.515136638847979,7.622963274656942,93.37448359632698,100.50149735825951
AC,Acre,North,12,2016-10-01,2016,10,-136,-85,93.33333076141511,100.6884397076922,4,593000,FALSE,TRUE,FALSE,,pre,-22.93423271500843,-14.33389544688027,2018-11-07,2018-12-10,7.3010119423603195,4.890338088493048,93.19615750272914,100.68948438329753
AC,Acre,North,12,2016-11-01,2016,11,-117,-166,95.88476366064722,97.53322523290959,4,593000,FALSE,TRUE,FALSE,,pre,-19.73018549747049,-27.993254637436763,2018-11-07,2018-12-10,3.7835526183260053,-0.20475761568455683,93.0178292658661,100.56119094110687
AC,Acre,North,12,2016-12-01,2016,12,-138,-324,127.24279949698425,100.02141509179926,4,593000,FALSE,TRUE,FALSE,,pre,-23.27150084317032,-54.63743676222597,2018-11-07,2018-12-10,-9.4020182553066185,-16.6993132272583,98.90260321418623,99.09887859153106
AC,Acre,North,12,2017-01-01,2017,1,43,-54,96.23761798192638,88.30426678874058,1,598000,FALSE,TRUE,FALSE,,pre,7.190635451505017,-9.03010033444816,2018-11-07,2018-12-10,-9.507433888672564,-21.09548641225136,98.63219387496818,97.6334504097797
AC,Acre,North,12,2017-02-01,2017,2,42,20,85.61990366365895,91.13112258748166,1,598000,FALSE,TRUE,FALSE,,pre,7.023411371237458,3.3444816053511706,2018-11-07,2018-12-10,-8.790380066028678,-16.48478482950009,97.53866568282223,95.74260727499356
AC,Acre,North,12,2017-03-01,2017,3,168,-41,90.35004707253339,95.21365420430834,1,598000,FALSE,TRUE,FALSE,,pre,28.093645484949832,-6.8561872909699,2018-11-07,2018-12-10,-3.9380377913261557,-18.251065477768314,98.11141043952755,95.48202060215527
AC,Acre,North,12,2017-04-01,2017,4,288,42,92.03013979532933,95.60887818397111,2,597000,FALSE,TRUE,FALSE,,pre,48.24120603015076,7.035175879396985,2018-11-07,2018-12-10,7.924535332867042,-14.68955359005544,97.89421194517992,94.63542701486843
AC,Acre,North,12,2017-05-01,2017,5,70,123,99.44527581701162,95.30906689878177,2,597000,FALSE,TRUE,FALSE,,pre,11.725293132328309,20.603015075376884,2018-11-07,2018-12-10,13.167115104500176,-6.590175304586498,98.48763063790732,94.26473395918045
AC,Acre,North,12,2017-06-01,2017,6,98,236,94.17668846753153,95.4172249388842,2,597000,FALSE,TRUE,FALSE,,pre,16.41541038525963,39.530988274706864,2018-11-07,2018-12-10,19.7816003092385,9.104562201568974,92.97661213299853,93.49736893369462
AC,Acre,North,12,2017-07-01,2017,7,110,122,103.68879943757292,91.5889452275822,3,597000,FALSE,TRUE,FALSE,,pre,18.42546063651591,20.435510887772196,2018-11-07,2018-12-10,21.654071173406983,14.015497405272367,94.21847570893962,94.04481534016821
AC,Acre,North,12,2017-08-01,2017,8,141,97,104.66095880854344,98.10982248581001,3,597000,FALSE,TRUE,FALSE,,pre,23.618090452261306,16.24790619765494,2018-11-07,2018-12-10,24.41985102024429,16.166068170656327,97.39198489975371,95.2079319898896
AC,Acre,North,12,2017-09-01,2017,9,2,21,101.96861050960374,92.25280397603841,3,597000,FALSE,TRUE,FALSE,,pre,0.33500837520938026,3.5175879396984926,2018-11-07,2018-12-10,19.793411501954214,17.89503070910106,99.32841213926542,94.71445695184462
AC,Acre,North,12,2017-10-01,2017,10,218,33,103.21834415532226,88.60278625445861,4,596000,FALSE,TRUE,FALSE,,pre,36.577181208053695,5.5369127516778525,2018-11-07,2018-12-10,17.84940736493804,17.645320187814537,101.19311286593091,93.54677496359253
AC,Acre,North,12,2017-11-01,2017,11,11,-212,107.60304036741395,96.93263834658752,4,596000,FALSE,TRUE,FALSE,,pre,1.8456375838926173,-35.57046979865772,2018-11-07,2018-12-10,16.202798106865423,8.28307270880877,102.55274029099797,93.81737020489349
AC,Acre,North,12,2017-12-01,2017,12,-19,-130,137.4186454041043,102.04143865749755,4,596000,FALSE,TRUE,FALSE,,pre,-3.1879194630872485,-21.812080536912752,2018-11-07,2018-12-10,12.935576465474277,-1.9407720931278314,109.7597331137601,94.92140582466239
AC,Acre,North,12,2018-01-01,2018,1,-28,-91,99.55813158885265,81.84341364932816,1,603000,FALSE,TRUE,FALSE,,pre,-4.643449419568823,-15.091210613598673,2018-11-07,2018-12-10,9.090758122793488,-7.86189234335631,109.07128847230672,93.29715056162004
AC,Acre,North,12,2018-02-01,2018,2,17,-155,93.73869079331719,89.62295064667393,1,603000,FALSE,TRUE,FALSE,,pre,2.8192371475953566,-25.70480928689884,2018-11-07,2018-12-10,5.624282572015829,-14.85401159078194,107.25091046976901,91.88267192176403
AC,Acre,North,12,2018-03-01,2018,3,-54,-52,106.38962220707364,87.19212848909523,1,603000,FALSE,TRUE,FALSE,,pre,-8.955223880597014,-8.623548922056385,2018-11-07,2018-12-10,4.075910529381431,-16.87753440107442,107.98774575268067,91.0392260072735
AC,Acre,North,12,2018-04-01,2018,4,-4,49,99.13283919068421,82.93497381063455,2,603000,FALSE,TRUE,FALSE,,pre,-0.6633499170812603,8.12603648424544,2018-11-07,2018-12-10,-2.130844658141062,-16.44601377897982,107.30682825857433,90.0945905999695
AC,Acre,North,12,2018-05-01,2018,5,136,-5,108.32117137501308,91.99373049079679,2,603000,FALSE,TRUE,FALSE,,pre,22.553897180762853,-0.8291873963515755,2018-11-07,2018-12-10,1.3205319413373107,-10.655800045262131,107.42651675984084,89.27143929067103
AC,Acre,North,12,2018-06-01,2018,6,51,198,103.23111372932388,90.32175220209736,2,603000,FALSE,TRUE,FALSE,,pre,8.457711442786069,32.83582089552239,2018-11-07,2018-12-10,3.2614704256495304,-1.5478164731896074,101.7285948140441,87.318158214771
AC,Acre,North,12,2018-07-01,2018,7,146,294,102.0611095486708,88.02337792961004,3,610000,FALSE,TRUE,FALSE,,pre,23.934426229508198,48.19672131147541,2018-11-07,2018-12-10,8.0244497004957,9.000172180989406,102.14575780734714,88.34815226148464
AC,Acre,North,12,2018-08-01,2018,8,70,108,109.30361841889527,89.61459930671143,3,610000,FALSE,TRUE,FALSE,,pre,11.475409836065573,17.704918032786885,2018-11-07,2018-12-10,9.467145148574069,16.23512673427036,104.73991241161015,88.3467603714909
AC,Acre,North,12,2018-09-01,2018,9,161,0,108.77090985593787,86.3926559881109,3,610000,FALSE,TRUE,FALSE,,pre,26.39344262295082,0,2018-11-07,2018-12-10,15.358589565832041,17.672384887946425,105.13679368642084,88.21351495466018
AC,Acre,North,12,2018-10-01,2018,10,134,-105,112.5221168893112,88.0063386488369,4,620000,FALSE,TRUE,FALSE,,pre,21.612903225806452,-16.93548387096774,2018-11-07,2018-12-10,19.071298422979993,13.495464828744227,107.36833996952535,89.0587424276939
AC,Acre,North,12,2018-11-01,2018,11,-312,-250,125.09410327306172,87.3700174886884,4,620000,FALSE,TRUE,FALSE,,crisis,-50.32258064516129,-40.32258064516129,2018-11-07,2018-12-10,-50.32258064516129,-40.32258064516129,125.09410327306172,87.3700174886884
AC,Acre,North,12,2018-12-01,2018,12,-275,-221,143.15120680190068,100.3425413982654,4,620000,FALSE,TRUE,FALSE,,crisis,-44.354838709677416,-35.645161290322584,2018-11-07,2018-12-10,-47.33870967741935,-37.983870967741936,134.1226550374812,93.8562794434769
AC,Acre,North,12,2019-01-01,2019,1,-30,0,106.82719551478039,71.48956246256454,1,622000,FALSE,TRUE,FALSE,,post,-4.823151125401929,0,2018-11-07,2018-12-10,-4.823151125401929,0,106.82719551478039,71.48956246256454
AC,Acre,North,12,2019-02-01,2019,2,-16,-33,101.06795046536932,77.12914592174413,1,622000,FALSE,TRUE,FALSE,,post,-2.572347266881029,-5.305466237942122,2018-11-07,2018-12-10,-3.697749196141479,-2.652733118971061,103.94757299007486,74.30935419215433
AC,Acre,North,12,2019-03-01,2019,3,375,0,111.68090673491508,78.76377971093811,1,622000,FALSE,TRUE,FALSE,,post,60.28938906752411,0,2018-11-07,2018-12-10,17.631296891747052,-1.7684887459807073,106.5253509050216,75.79416269841559
AC,Acre,North,12,2019-04-01,2019,4,183,58,104.85306824057776,81.1832848021624,2,620000,FALSE,TRUE,FALSE,,post,29.516129032258064,9.35483870967742,2018-11-07,2018-12-10,20.602504926874804,1.0123431179338245,106.10728023891063,77.14144322435229
AC,Acre,North,12,2019-05-01,2019,5,115,304,115.27836449662351,85.57742692850452,2,620000,FALSE,TRUE,FALSE,,post,18.548387096774192,49.03225806451613,2018-11-07,2018-12-10,20.19168136085468,10.616326107250286,107.94149709045321,78.82863996518275
