pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.02086240843364598,0.026686574748189848,1.2791703715833167
AM,0.02059451860955447,0.10079816842009875,4.89441731225197
AP,0.026054477388218353,0.03514192622381921,1.3487864561701066
BA,0.024521708358005143,0.044310201907661995,1.806978586514217
CE,0.01950959347993011,0.05022752825908777,2.574504092602328
DF,0.030714961711441,0.07447080670647747,2.4245775529890334
ES,0.02224025782255093,0.04006616232425958,1.8015151912327985
GO,0.030535645786016523,0.08583809401593223,2.811078390725926
MA,0.027167938556365057,0.10238480768086158,3.7685894889833036
MG,0.020568262321271444,0.03832712127483305,1.8634107576115273
MS,0.014049111435465845,0.08225156535122694,5.854574200585349
MT,0.030925898568534387,0.05068554939040807,1.638935382203516
PA,0.02074988243279396,0.1368923652895612,6.597259802938011
PB,0.011521214275996726,0.15117099401143202,13.12109907775792
PE,0.031221865582449878,0.11223523835807468,3.5947639983807766
PI,0.016561772402565393,0.13808927130041573,8.33783172138182
PR,0.02064274243097897,0.049153327324092284,2.381143275339565
RN,0.00973567401186975,0.1073457393332525,11.026020304539408
RO,0.01841177963670715,0.07955190603336523,4.320707047501503
RS,0.03425301317562669,0.04532650980730762,1.323285328940359
SE,0.019659044533913407,0.1403940282687247,7.141447186130226
SP,0.011527028469227351,0.03170014103957564,2.750070508128144
