state_abbrev,monthly_pre_periods,va_icms_secundario_real_pc,va_icms_terciario_real_pc,va_icms_energia_real_pc,va_icms_combustiveis_real_pc,fpe_real_pc,iof_est_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,36,0.042408312218088225,6.875365269403507,0.873931737156426,3.0334077696733295,68.1140559466657,0,TRUE,FALSE,
AL,36,3.2879762194737947,8.244690836129614,1.422478544815041,0.1101192036170059,16.36266851778142,0,TRUE,FALSE,
AM,36,18.294899066260758,21.248705866269198,1.4425797556287845,3.395612168110058,11.136492226007096,1.501314916290786e-4,TRUE,FALSE,
AP,36,3.7946027092090473,8.302742176351755,0.5841624815020454,5.2394360905533715,79.89120239130199,0.009262885704899571,TRUE,FALSE,
BA,36,6.918289048762867,8.69608587291846,2.113900455641394,6.670520287359159,7.885754842640477,0,TRUE,FALSE,
CE,36,7.147108331989629,8.975289684057024,2.330954668901081,3.5473241790738412,10.971165086542577,2.515288138195464e-6,TRUE,FALSE,
DF,36,12.922581148992611,28.8124409802667,5.053447156177975,13.406030109561248,3.728621234853206,0,TRUE,FALSE,
ES,36,16.88904089743426,26.40131486792735,4.924024690791995,7.861066275012597,5.391352912682872,1.0530778631505165e-05,TRUE,FALSE,
GO,36,9.178067565139884,14.138677368073894,4.253117732647275,8.388243308385135,6.2707035627989915,9.773686362344324e-7,TRUE,FALSE,
MA,36,0.9981176184411472,2.807618089444965,0.7946827807170138,1.6408358526286941,14.186062107296506,-5.619898304488522e-8,TRUE,FALSE,
MG,36,12.3929681216141,11.336432077778142,4.844032506931741,8.52743835214078,2.757672150180218,1.0769850178348845e-5,TRUE,FALSE,
MS,36,1.403695887319064,23.664856795063574,3.144926759738289,10.115627180071858,7.071771580761167,0,TRUE,FALSE,
MT,36,10.443733235923538,18.19202778943669,4.920883969509383,10.629977145757431,10.247347616447481,0.004031802229261272,TRUE,FALSE,
PA,36,2.7126455243887992,10.81256445615527,1.5251836620245673,1.50243080335881,10.958393032114873,0.0021999556567024034,TRUE,FALSE,
PB,36,4.337691404723423,13.7543318205391,1.4128206818406914,0.05740957402115612,15.353395448045067,7.884261185780526e-7,TRUE,FALSE,
PE,36,4.256710925017274,12.482555313697436,1.7074418576666697,3.969428342129605,9.689377335645718,-3.54524282650537e-11,TRUE,FALSE,
PI,36,1.2175998150833154,8.185572822255716,1.1480999367043072,2.6997731149631656,16.87630492040717,2.3961546348855417e-9,FALSE,TRUE,treated_unit
PR,36,6.6705791866182125,14.925408964749797,4.854005357801436,9.460284864563068,3.3211180424513573,2.057509336268579e-5,TRUE,FALSE,
RJ,36,15.49390841981094,22.072134752169173,7.226574331234258,7.237491545591098,1.1801783666721741,2.424593535785375e-5,TRUE,FALSE,
RN,36,3.8242318728803943,15.317676818506648,2.043855462124944,0.3247108472214047,16.731135741791906,8.31836289012322e-11,TRUE,FALSE,
RO,36,2.0384103187852536,24.21223570397422,0.27140550138789976,4.147550164753557,22.786613746258837,0.004032502702178121,TRUE,FALSE,
RR,36,2.398773240140064,15.310841366342054,0.3714636945082184,9.173108346239323,89.36902774551028,0.0023525381763258068,TRUE,FALSE,
RS,36,14.89691865824415,17.215645466693505,4.9610044883300475,10.985098045126042,2.548861651106563,1.0839245575661973e-8,TRUE,FALSE,
SC,36,12.416131105236333,18.532796238523325,5.234355479148771,10.201917487670778,2.657821435398219,3.7376191308912795e-9,TRUE,FALSE,
SE,36,1.053014665662986,9.248136840455137,1.7956087859035215,4.259215964695928,25.818484922163595,0,TRUE,FALSE,
SP,36,31.12801129809788,24.607498565282157,5.856221626190963,10.899126704940247,0.29893163067890816,9.617658379594966e-5,TRUE,FALSE,
TO,36,0.6979134409626532,10.44480095898372,2.0721992306723296,6.77081900026755,41.18848959839814,-1.8318662494407033e-6,TRUE,FALSE,
