state_abbrev,period_date,year,month,va_icms_total,va_receita_tributaria_total,va_icms_terciario_varejista,va_icms_secundario,va_icms_terciario,va_icms_energia,va_icms_combustiveis,fpe,iof_est,retail_volume_index,ipca_deflator_factor,population,va_icms_total_real_pc,va_receita_tributaria_total_real_pc,va_icms_terciario_varejista_real_pc,va_icms_secundario_real_pc,va_icms_terciario_real_pc,va_icms_energia_real_pc,va_icms_combustiveis_real_pc,fpe_real_pc,iof_est_real_pc,va_icms_total_real_pc_sa,va_receita_tributaria_total_real_pc_sa,va_icms_terciario_varejista_real_pc_sa,va_icms_secundario_real_pc_sa,va_icms_terciario_real_pc_sa,va_icms_energia_real_pc_sa,va_icms_combustiveis_real_pc_sa,fpe_real_pc_sa,iof_est_real_pc_sa,retail_volume_index_sa,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,pre_instability_clean,instability_start_date,removal_date
AC,1998-11-01,1998,11,8569504,11239541,0,12610,2542693,4202580,1754356,25071670.08,0,,1.2391220586211642,527937,20.113501114417634,26.38035065145458,0,0.02959695789310634,5.967960163052834,9.86388448076216,4.117652709081559,58.84577031464028,0,17.9901638637904,-33.2351745220292,0,-0.154404215589169,-41.2377344751419,8.56203641999505,5.04362480258197,58.2123665598335,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1998-12-01,1998,12,8303737,9279220,0,8116,2004526,4202500,2044977,25112364.46,0,,1.2350432039500754,527937,19.42556393895254,21.707585562212195,0,0.01898637648669976,4.689340230825324,9.831228090852113,4.783970333740983,58.7472654150787,0,17.6142393531079,-4.74060194875711,0,-0.487616104465408,-16.606838376789,8.86088643719776,5.59114698857303,57.4176247321908,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-01-01,1999,1,6566954,9601264,0,5369,2344838,2079518,2079518,32542666.87,,,1.2264558263700192,527937,15.255757779439408,22.304794271507234,0,0.01247277863036808,5.447317060546662,4.830949463934767,4.830949463934767,75.600201138261,,15.7295377825658,92.7787730178466,0,0.722146463630592,53.0057543052199,5.0070629869279,4.12399043850232,63.8434928591419,,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-02-01,1999,2,4780587,7293895,0,1876,2318019,0,2373548,33039586.32,0,,1.2137104654845907,527937,10.990418313282804,16.768433914739315,0,0.0043128646661421575,5.329052367028879,0,5.456711781765664,75.95696397840182,0,13.176732326825,108.455073012724,0,0.473972487003948,69.3018666843978,0.647446420847791,4.70795119745729,72.4230649108715,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-03-01,1999,3,3781207,8337272,0,12913,0,0,1309211,33778818.01,0,,1.2005066160050661,527937,8.59830627515152,18.958607173647216,0,0.02936362091020978,0,0,2.9770909545014055,76.81161673047367,0,10.3407193530846,93.4028441656578,0,0.297961635383369,79.0244377819339,1.24445717834857,2.44116203742792,81.1248336951164,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-04-01,1999,4,5613519,7114897,0,6710,2852232,0,2676174,30666552.54,0,,1.193821881939611,527937,12.693828651683368,16.088888875654657,0,0.01517329686651019,6.449741112989581,0,6.051621843284059,69.34615582143846,0,14.566280373861,56.5075632996864,0,0.119758033888422,55.5589757097467,1.18943450986605,5.39970798096988,62.5663020503654,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-05-01,1999,5,6824781,11014361,0,6612,4823445,0,1925885,33117643.74,0,,1.1902477066645518,527937,15.386646387235233,24.832163535848935,0,0.014906926084866217,10.87458228817567,0,4.341957855860946,74.66458973640539,0,16.0945211115546,32.4562620040658,0,0.00634670680962763,24.6761442793582,1.07162582867465,4.12271109671773,64.6458051169618,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-06-01,1999,6,6246438,8798000,0,9328,3872035,0,2207704,22123753.43,0,,1.1879943269896764,527937,14.056095533923063,19.79776770496323,0,0.020990404313695955,8.713076776027199,0,4.9679030408408895,49.784147666404124,0,15.1376226842478,25.402381238679,0,0.0604704104411338,14.0004058769569,0.433420261765154,4.79246430396676,60.1063100201359,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-07-01,1999,7,6566533,11116936,0,12222,3696179,0,2774977,22004647.18,0,,1.175187768765457,527937,14.617102542149429,24.746299678462364,0,0.027206172156623645,8.227694501366145,0,6.177098837561038,48.98234490466724,0,15.1629086610401,-0.954761721552817,0,-0.0905507668165567,-14.3842633252927,0.00230335618605376,6.1426191748693,59.5511313690211,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-08-01,1999,8,7032612,10900594,0,31122,4145610,0,2762474,27446437.42,0,,1.168644755199377,527937,15.567435374206015,24.129625327752738,0,0.06889186033809908,9.176749088626273,0,6.115030299968829,60.75561125625013,0,13.2339008038567,2.68767185106281,0,-0.137897458714576,-15.855389973859,-0.425112205219497,6.44685388732684,63.6096968094873,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-09-01,1999,9,7383015,11418920,0,25858,4928887,0,2363239,25611070.42,0,,1.1650310836249782,527937,16.2925537817381,25.198833840831266,0,0.05706244070859721,10.876878420484013,0,5.215105008807509,56.51752600065581,0,15.6560460057922,-21.9623947417791,0,-0.170453873807492,-36.5790308784546,-0.860594364339238,5.97688924421271,61.3109091932132,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-10-01,1999,10,6759694,10513002,0,21925,3515412,0,2993285,30510933,0,,1.1513268509106718,527937,14.741564251302263,22.926791428290862,0,0.0478141164688523,7.666422750467549,0,6.5277663678206865,66.5383491008141,0,13.450567396919901,-37.9164079769701,0,-0.16583156065519,-48.909725470909,-1.08893555512886,6.78437311130999,68.2636107962943,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-11-01,1999,11,7412549,19228393,0,19116,4093426,0,3124464,28990983.44,0,,1.140492308861433,527937,16.013189307736543,41.538733463017394,0,0.04129593299237438,8.842950711720185,0,6.749720442618018,62.62867281446303,0,13.9254542556187,4.07526919810774,0,-0.0805116896289594,-19.9833834079223,-1.03624152980812,7.47884029216479,63.4547120986576,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,1999-12-01,1999,12,9335624,16740073,0,17382,5910560,3078095,0,31862340.58,0,,1.1336934078662437,527937,20.04734539749609,35.94768013475035,0,0.037326155991209274,12.692353270935557,6.609909914035283,0,68.42128033218945,0,18.2533790082597,19.3984083674676,0,-0.258118789955044,1.4204193985793,5.84445412762832,0.575480672204763,66.2680424212989,0,,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-01-01,2000,1,8793696,12897804,0,81054,4977229,0,3524568,35972144.82,0,23.6809,1.1267071652454625,557226,17.78079323683813,26.079271575144713,0,0.1638906342701269,10.063923035478439,0,7.126652417501821,72.7354310781289,0,18.3476310632925,52.7457994821006,0,0.586779457774916,29.6445289700965,0.131145113718216,6.62892145029431,61.5834906672943,0,100,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
AC,2000-02-01,2000,2,8339389,13641607,0,48732,5054933,0,2989510,34121829.44,0,23.4889,1.1252428943636013,557226,16.840273453830186,27.54738893097372,0,0.09840771379678447,10.207756708649779,0,6.03691300321401,68.90444114245699,0,18.642082432388,80.7063914891357,0,0.398556119836087,52.2775293273756,0.50879097062919,5.47874480991247,61.1316976830854,0,100.10821967165757,FALSE,TRUE,FALSE,,pre,TRUE,2001-11-06,2001-11-06
