scm_rmspe_crisis,scm_rmspe_post,scm_rmspe_pre,augmented_rmspe_crisis,augmented_rmspe_post,augmented_rmspe_pre,scm_mean_gap_crisis,scm_mean_gap_post,scm_mean_gap_pre,augmented_mean_gap_crisis,augmented_mean_gap_post,augmented_mean_gap_pre,n_periods_crisis,n_periods_post,n_periods_pre,outcome,donor_count,family,specification,status,skip_reason
4.274583514906452,24.152354482731347,27.195372507951173,5.835469927997974,22.177190903938126,20.422138135148863,-0.4823538627380417,4.136886681991033,0.12558535453294783,-5.094029026979073,8.282229837150567,-1.5797513517634487,2,11,36,formal_hiring_balance_per_100k_wap,24,monthly,raw,estimated,
20.047279947395957,31.898695750962975,31.43760455226037,36.92044471897794,34.837286159457,22.811393086260416,-0.9597790614908259,7.119517701589966,10.05271407579368,-22.97044782417969,6.335476900082333,-3.226660281211788,2,11,36,formal_hiring_balance_construction_per_100k_wap,24,monthly,raw,estimated,
5.115636525686613,4.235040073180322,5.451642129021482,6.957170064121055,11.762305779783,3.5857051888111537,-5.0562059506302575,2.897303272872435,-0.4246229549896263,1.5492606107384717,10.342799283933957,0.4175917874997263,2,11,36,retail_volume_index,24,monthly,raw,estimated,
6.268965894295167,6.21133912748447,5.030619429453164,7.984485045736629,5.756668064644624,3.2251256447207663,0.4635458465883673,4.058197925467521,-0.14085056344261757,-0.33637212296829944,3.5298941806030695,0.05109653324070251,2,11,36,services_volume_index,24,monthly,raw,estimated,
7.973836679026863,17.219585844061825,15.514343241407648,7.737825262341576,30.83244146004694,3.5726083413153886,7.54267867018055,11.358187523514651,-1.0373516007052048,7.175236751755964,19.433259297449588,0.2026342615944517,2,11,36,formal_hiring_balance_per_100k_wap_ma6_V5,24,monthly,ma6_V5,estimated,
20.765747203805095,17.53063977080269,18.76255712170661,46.92367795307734,19.371593794584385,3.4333505430935665,17.259554941478825,-4.565416452270892,7.839078990738741,-38.48507231579673,-8.676833441378308,0.16664135176915193,2,11,36,formal_hiring_balance_construction_per_100k_wap_ma6_V5,24,monthly,ma6_V5,estimated,
7.229946036586845,2.3262488067219693,3.3752092288914484,6.283701491538262,9.28927034660346,0.5405145095673259,-7.227484396125135,0.5947565849664588,-0.5320993900858587,6.23921373914645,8.801476737639975,-0.04480704593822426,2,11,36,retail_volume_index_ma6_V5,24,monthly,ma6_V5,estimated,
4.806799762774483,5.736285810388961,3.2688023213797033,4.478100255804131,4.220590824210105,0.3740807938930228,3.8834709194309838,5.624609656435248,0.06043401828035973,3.5094462852430226,3.824682073431894,0.025123176623097265,2,11,36,services_volume_index_ma6_V5,24,monthly,ma6_V5,estimated,
285.4170472195982,68.86004707088692,77.90620637195444,288.11594944373826,66.65046193723315,19.409822459361674,-285.4170472195982,-50.67533512067095,-16.705432830192027,-288.11594944373826,-27.344707178310898,-3.013550813398403,1,6,23,state_tax_revenue_real_pc,24,bimonthly_fiscal,raw,estimated,
270.49977779436927,404.8334561415565,23.074241527930365,285.222915712381,394.9917003405277,10.763411451607958,-270.49977779436927,91.26403051873773,-0.06583505395185954,-285.222915712381,83.08773387340946,4.726645494093311,1,6,23,icms_revenue_real_pc,24,bimonthly_fiscal,raw,estimated,
27.96998403517145,26.484597025872134,34.143061368050574,95.86754673800544,28.930357064141166,17.320220005157243,-27.96998403517145,-2.7358663844984643,-3.7901814569881997,-95.86754673800544,-2.775125896287487,-1.0557013970730997,1,6,23,public_investment_liquidated_real_pc,24,bimonthly_fiscal,raw,estimated,
838.9425533478643,284.91182619225646,527.689567045725,1016.0303709038326,289.39049293738873,475.06342543779584,-838.9425533478643,-199.53686039363097,109.03215109937399,-1016.0303709038326,-150.92010783792864,0.21170951779776181,1,6,23,liquidated_expenditure_total_real_pc,24,bimonthly_fiscal,raw,estimated,
295.83372506486126,45.31482657717568,62.23494757207047,314.3381410549713,42.99631901798389,3.6840356655283744,-295.83372506486126,-31.456942107546826,-9.12662255092504,-314.3381410549713,-26.171537335597538,0.07991262165776902,1,6,23,state_tax_revenue_real_pc_ma4_V5,24,bimonthly_fiscal,ma4_V5,estimated,
323.49590247647143,122.11025228031292,8.89316388251577,340.11498617126756,125.29863050869935,0.6058372208616486,-323.49590247647143,-52.702675391488306,2.5189623185355194,-340.11498617126756,-59.80390014540841,-0.07525051083748621,1,6,23,icms_revenue_real_pc_ma4_V5,24,bimonthly_fiscal,ma4_V5,estimated,
35.83933797652088,24.803988790171836,10.802700600736417,36.14548256338995,24.8913331847592,3.3686434349931704,-35.83933797652088,8.394151185448305,-1.4083067402547642,-36.14548256338995,8.462435064165597,-0.16789913759479588,1,6,23,public_investment_liquidated_real_pc_ma4_V5,24,bimonthly_fiscal,ma4_V5,estimated,
972.2113266303604,398.50794849073156,235.41098400550607,1071.2450853563578,338.97932407992386,96.48210349498987,-972.2113266303604,-381.1672144658389,40.54741810463512,-1071.2450853563578,-296.7594632546694,11.45736214802714,1,6,23,liquidated_expenditure_total_real_pc_ma4_V5,24,bimonthly_fiscal,ma4_V5,estimated,

