Channel,Outcome,Mean gap (w6m),RMSPE pre,Donors
Household consumption,"Retail volume, MA6 trailing, log", 0.08,0.00,26
State public finances,"ICMS CONFAZ per capita, 6m sum, log BRL/resident",-0.06,0.01,26
