pre_rmspe,post_rmspe,mean_abs_gap_post,post_pre_ratio,pseudo_treated_state,outcome,short_label,channel_slug
2.199832380183645,7.161681179760142,6.246292718116306,3.2555576707904788,AC,va_icms_total_real_pc_sa,ICMS total VA,tax_base
28.890041037511377,27.26242427494042,12.007685039818172,0.9436616666463843,AC,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.3612144926869776,4.19511872981686,3.9874952736038716,11.613926945761502,AC,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
1.6234723581145178,12.25382593108575,10.559728499842361,7.547911653585037,AC,retail_volume_index_sa,Retail volume,consumption
1.5719011817154496,1.6265046538888903,1.3434583111138445,1.0347372168229116,AL,va_icms_total_real_pc_sa,ICMS total VA,tax_base
1.4938569828052684,1.6013449743856205,1.246283139383234,1.0719533347687031,AL,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.3638388833215282,0.4392066343467416,0.3445797752099561,1.2071459497049142,AL,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
1.28567561673846,6.112383978476517,5.28548691556544,4.754219414989446,AL,retail_volume_index_sa,Retail volume,consumption
2.838728314144479,7.023626600479797,5.8774894605890164,2.4742158541496564,AM,va_icms_total_real_pc_sa,ICMS total VA,tax_base
3.7773240488316655,8.859099429004436,7.702812398489597,2.3453374173032824,AM,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.36774077347415024,3.3665041074525273,3.174874831625779,9.154557640286168,AM,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.6602459064232888,7.749637643497899,5.0877914555653145,11.737501994491042,AM,retail_volume_index_sa,Retail volume,consumption
2.6950310855569586,6.6051441793262455,5.244051190442129,2.450860108710478,AP,va_icms_total_real_pc_sa,ICMS total VA,tax_base
2.802057101295719,6.514758326294995,5.058068097815904,2.324991279900206,AP,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
1.4330934700600066,4.784491534112626,4.487655685190304,3.338576048296619,AP,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
1.8702976312406971,12.785377805159948,11.088943566051837,6.8360124033726795,AP,retail_volume_index_sa,Retail volume,consumption
1.3194662327916977,1.930348582433645,1.5184575918984575,1.4629768723595569,BA,va_icms_total_real_pc_sa,ICMS total VA,tax_base
1.4544716681531717,2.1022353447439754,1.6771853751676609,1.4453601199487833,BA,va_receita_tributaria_total_real_pc_sa,Tax revenue VA,tax_base
0.19260372009459165,1.3769461972513413,1.2786760927163665,7.149115274487402,BA,va_icms_terciario_varejista_real_pc_sa,ICMS retail VA,tax_base
0.3404165854452712,4.8044292793520675,3.6387625992196715,14.113381911365408,BA,retail_volume_index_sa,Retail volume,consumption
