period_date,event_time,plot_time,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2015-11-01,-37,-37,pre,25,-80.78056526352796,30.170010588991488,0.615848211066026,0.3627421494019594,-50.61055467453647,105.78056526352796,75.61055467453647,formal_hiring_balance_per_100k_wap
2015-12-01,-36,-36,pre,-116.66666666666669,-284.54263502403444,148.71687814679456,0.023357214690901212,0.20943823007003046,-135.82575687723988,167.87596835736775,19.159090210573197,formal_hiring_balance_per_100k_wap
2016-01-01,-35,-35,pre,-24.13793103448276,-19.734208475428897,-4.801521633429397,1e-4,0.38934436571959485,-24.535730108858296,-4.403722559053865,0.3977990743755342,formal_hiring_balance_per_100k_wap
2016-02-01,-34,-34,pre,-23.850574712643677,-80.31455373870097,-32.12803620874738,1.8329807108324339,0.31825107116267226,-112.44258994744834,56.46397902605729,88.59201523480466,formal_hiring_balance_per_100k_wap
2016-03-01,-33,-33,pre,63.2183908045977,-93.71300225236983,63.272978351693936,1.8329807108324339,0.47678131105310695,-30.440023900675897,156.93139305696752,93.6584147052736,formal_hiring_balance_per_100k_wap
2016-04-01,-32,-32,pre,-18.285714285714285,-43.98162417236691,47.84099260858657,1e-4,0.2973803251743049,3.859368436219661,25.695909886652622,-22.145082721933946,formal_hiring_balance_per_100k_wap
2016-05-01,-31,-31,pre,-12.285714285714286,-62.62747820653394,17.496738703132767,0.2069138081114788,0.4766045295478866,-45.13073950340117,50.34176392081965,32.84502521768689,formal_hiring_balance_per_100k_wap
2016-06-01,-30,-30,pre,-66.28571428571429,-30.48199979398524,-16.50729220825986,1.8329807108324339,0.3709384818979684,-46.989292002245094,-35.80371449172905,-19.296422283469198,formal_hiring_balance_per_100k_wap
2016-07-01,-29,-29,pre,-25.35211267605634,0.23744004549687292,-23.49501546261476,1e-4,0.36270247064051653,-23.257575417117888,-25.58955272155321,-2.094537258938452,formal_hiring_balance_per_100k_wap
2016-08-01,-28,-28,pre,17.746478873239436,17.084895557469547,58.12238496147373,1e-4,0.30749337652716424,75.20728051894328,0.6615833157698887,-57.46080164570384,formal_hiring_balance_per_100k_wap
2016-09-01,-27,-27,pre,97.1830985915493,4.41645998807843,72.99502071444799,1e-4,0.38085469236977143,77.41148070252642,92.76663860347087,19.771617889022878,formal_hiring_balance_per_100k_wap
2016-10-01,-26,-26,pre,-57.5,-22.373272552626297,-56.404165614495284,0.06951927961775606,0.36459558651067225,-78.77743816712157,-35.1267274473737,21.277438167121574,formal_hiring_balance_per_100k_wap
2016-11-01,-25,-25,pre,-6.388888888888889,-81.55806889537594,28.048628569969438,1e-4,0.3627127932831376,-53.5094403254065,75.16918000648705,47.120551436517616,formal_hiring_balance_per_100k_wap
2016-12-01,-24,-24,pre,-136.11111111111111,-199.09495311837247,125.27244284549874,1e-4,0.2731606966024169,-73.82251027287373,62.98384200726136,-62.288600838237386,formal_hiring_balance_per_100k_wap
2017-01-01,-23,-23,pre,70.49180327868852,14.097493782501601,-5.879088276889366,1e-4,0.26298971406343885,8.218405505612235,56.39430949618692,62.27339777307628,formal_hiring_balance_per_100k_wap
2017-02-01,-22,-22,pre,44.80874316939891,41.0517103110574,31.407789518245522,5.455594781168514,0.3339287738866328,72.45949982930293,3.7570328583415105,-27.65075665990402,formal_hiring_balance_per_100k_wap
2017-03-01,-21,-21,pre,-23.49726775956284,-63.83128884020115,32.43963951858149,1e-4,0.5643034900146319,-31.39164932161966,40.33402108063831,7.894381562056822,formal_hiring_balance_per_100k_wap
2017-04-01,-20,-20,pre,66.4850136239782,-3.1255791956184096,25.25799535437155,0.615848211066026,0.29203056524293,22.132416158753138,69.61059281959662,44.35259746522507,formal_hiring_balance_per_100k_wap
2017-05-01,-19,-19,pre,72.75204359673025,4.980774487254498,59.633289628708134,0.615848211066026,0.4436846275065875,64.61406411596263,67.77126910947575,8.137979480767612,formal_hiring_balance_per_100k_wap
2017-06-01,-18,-18,pre,6.267029972752043,9.295737283927133,-8.782343463410069,1e-4,0.4570503059716731,0.5133938205170647,-3.02870731117509,5.753636152234979,formal_hiring_balance_per_100k_wap
2017-07-01,-17,-17,pre,4.076086956521739,28.2259941630655,-59.21965282370149,0.615848211066026,0.5310437156817379,-30.993658660635987,-24.149907206543762,35.06974561715773,formal_hiring_balance_per_100k_wap
2017-08-01,-16,-16,pre,112.77173913043478,43.47764960373726,47.00761748642739,1e-4,0.3899204144033535,90.48526709016465,69.29408952669752,22.286472040270127,formal_hiring_balance_per_100k_wap
2017-09-01,-15,-15,pre,145.3804347826087,51.63194382835467,98.91135909914343,0.06951927961775606,0.4104415815622856,150.5433029274981,93.74849095425401,-5.162868144889416,formal_hiring_balance_per_100k_wap
2017-10-01,-14,-14,pre,13.008130081300813,27.33469614613302,-22.905631912163006,0.2069138081114788,0.5383325128624733,4.4290642339700135,-14.326566064832207,8.5790658473308,formal_hiring_balance_per_100k_wap
2017-11-01,-13,-13,pre,38.75338753387534,-10.155856040457362,59.68121681434915,1e-4,0.5416786580048039,49.52536077389179,48.909243574332706,-10.77197324001645,formal_hiring_balance_per_100k_wap
2017-12-01,-12,-12,pre,-62.05962059620596,-152.4452519066217,48.391740088262324,5.455594781168514,0.28286762857045294,-104.05351181835938,90.38563131041575,41.99389122215342,formal_hiring_balance_per_100k_wap
2018-01-01,-11,-11,pre,24.146981627296583,59.938540807706836,18.917621308533707,1e-4,0.5638275828380719,78.85616211624054,-35.79155918041025,-54.70918048894396,formal_hiring_balance_per_100k_wap
2018-02-01,-10,-10,pre,-12.860892388451443,38.680207354246804,-18.294844488581084,1e-4,0.39211842935476987,20.38536286566572,-51.54109974269825,-33.24625525411716,formal_hiring_balance_per_100k_wap
2018-03-01,-9,-9,pre,-0.5249343832020997,-12.217709678175616,42.979898170955096,0.2069138081114788,0.5080715939148334,30.76218849277948,11.692775294973517,-31.28712287598158,formal_hiring_balance_per_100k_wap
2018-04-01,-8,-8,pre,28.31168831168831,61.02091712791483,-9.852783081934016,1.8329807108324339,0.5419923172187793,51.168134045980814,-32.70922881622651,-22.856445734292503,formal_hiring_balance_per_100k_wap
2018-05-01,-7,-7,pre,-92.987012987013,-33.74788163507463,-35.910622699412066,1e-4,0.48410748557700584,-69.6585043344867,-59.239131351938376,-23.32850865252631,formal_hiring_balance_per_100k_wap
2018-06-01,-6,-6,pre,-70.12987012987013,-22.129520204626118,-55.69538900636869,1e-4,0.5842322184125947,-77.8249092109948,-48.00034992524401,7.695039081124676,formal_hiring_balance_per_100k_wap
2018-07-01,-5,-5,pre,-29.487179487179485,43.79737690860071,-52.87700554150567,1.8329807108324339,0.5643730653094049,-9.079628632904956,-73.2845563957802,-20.40755085427453,formal_hiring_balance_per_100k_wap
2018-08-01,-4,-4,pre,34.61538461538461,46.27422180994767,-32.32889632649204,1e-4,0.3440291578509343,13.945325483455626,-11.658837194563056,20.670059131928987,formal_hiring_balance_per_100k_wap
2018-09-01,-3,-3,pre,160.25641025641025,89.97094545642088,14.819174660292765,0.615848211066026,0.36857025390417353,104.79012011671364,70.28546479998937,55.46629013969661,formal_hiring_balance_per_100k_wap
2018-10-01,-2,-2,pre,36.80203045685279,61.96424405797792,3.827338861357905,1e-4,0.3161677077744725,65.79158291933582,-25.16221360112513,-28.989552462483033,formal_hiring_balance_per_100k_wap
2018-11-01,-1,-1,pre,56.85279187817259,26.44735896593576,10.25950355806161,1e-4,0.3503016489840199,36.70686252399737,30.40543291223683,20.145929354175216,formal_hiring_balance_per_100k_wap
2018-12-01,0,0,event,-82.99492385786802,-181.67977264979737,67.61888904889128,1e-4,0.4256310568582295,-114.0608836009061,98.68484879192935,31.06595974303808,formal_hiring_balance_per_100k_wap
2019-01-01,1,1,post,-76.33587786259542,4.2559623566227005,-59.78761070858131,16.23776739188721,0.6215306186902054,-55.53164835195861,-80.59184021921813,-20.804229510636816,formal_hiring_balance_per_100k_wap
2019-02-01,2,2,post,-62.595419847328245,110.4548891165509,16.483547504140596,48.32930238571752,0.6141259829850841,126.9384366206915,-173.05030896387916,-189.53385646801974,formal_hiring_balance_per_100k_wap
2019-03-01,3,3,post,19.338422391857502,-36.31457498374009,49.19812684895236,1.8329807108324339,0.5613017422908736,12.883551865212276,55.65299737559759,6.454870526645227,formal_hiring_balance_per_100k_wap
2019-04-01,4,4,post,38.67684478371501,68.00966506619983,-1.6470819987721648,48.32930238571752,0.7591582047210238,66.36258306742766,-29.332820282484818,-27.685738283712652,formal_hiring_balance_per_100k_wap
2019-05-01,5,5,post,31.552162849872772,11.69120599993122,28.062263630772875,0.06951927961775606,0.7633735682999466,39.753469630704096,19.86095684994155,-8.201306780831324,formal_hiring_balance_per_100k_wap
2019-06-01,6,6,post,49.36386768447837,14.349369450183088,-49.35087437689186,5.455594781168514,0.739510912371299,-35.00150492670877,35.01449823429528,84.36537261118714,formal_hiring_balance_per_100k_wap
2019-07-01,7,7,post,64.54081632653062,33.82020941974723,-15.455953331667892,48.32930238571752,0.8741092830100711,18.364256088079337,30.720606906783388,46.17656023845128,formal_hiring_balance_per_100k_wap
2019-08-01,8,8,post,70.40816326530613,64.85380943670418,20.70259043462435,1e-4,0.4244810405343325,85.55639987132854,5.554353828601947,-15.148236606022408,formal_hiring_balance_per_100k_wap
2019-09-01,9,9,post,154.33673469387756,107.99996242587378,10.014359548998922,5.455594781168514,0.672566601323393,118.0143219748727,46.336772268003784,36.32241271900486,formal_hiring_balance_per_100k_wap
2019-10-01,10,10,post,60.957178841309826,40.8209323365846,1.179353790964555,48.32930238571752,0.9059746318912163,42.00028612754915,20.13624650472523,18.956892713760674,formal_hiring_balance_per_100k_wap
2019-11-01,11,11,post,158.18639798488664,20.719893866410242,-27.004529612721413,0.2069138081114788,0.43135022486406804,-6.284635746311171,137.4665041184764,164.47103373119782,formal_hiring_balance_per_100k_wap
2019-12-01,12,12,post,-43.07304785894207,-167.3046160865984,16.923659508491955,16.23776739188721,0.40286428212757064,-150.38095657810644,124.23156822765634,107.30790871916437,formal_hiring_balance_per_100k_wap
