"file","redownload_path","redownload_size_bytes","original_size_bytes","size_changed","test_exit_code","integrity_status","diagnostic"
"CAGEDEST_072015.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_072015.7z","26399324","26399324","False","2","failed","ERROR: Data Error : CAGEDEST_072015.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_082008.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_082008.7z","27488397","27488397","False","2","failed","ERROR: Data Error : CAGEDEST_082008.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_082009.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_082009.7z","24575614","24575614","False","2","failed","ERROR: Data Error : CAGEDEST_082009.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_082012.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_082012.7z","32937711","32937711","False","2","failed","ERROR: Data Error : CAGEDEST_082012.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_082019.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_082019.7z","25095626","25095626","False","2","failed","ERROR: Data Error : CAGEDEST_082019.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_092007.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_092007.7z","21839287","15794176","True","0","ok","Everything is Ok"
"CAGEDEST_092014.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_092014.7z","32314499","32314499","False","2","failed","ERROR: Data Error : CAGEDEST_092014.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_092019.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_092019.7z","23878873","23878873","False","2","failed","ERROR: Data Error : CAGEDEST_092019.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102009.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_102009.7z","24364243","24364243","False","2","failed","ERROR: Data Error : CAGEDEST_102009.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102010.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_102010.7z","28729992","28729992","False","2","failed","ERROR: Data Error : CAGEDEST_102010.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102012.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_102012.7z","31141931","31141931","False","2","failed","ERROR: Data Error : CAGEDEST_102012.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102013.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_102013.7z","30844627","16908288","True","2","failed","ERROR: Data Error : CAGEDEST_102013.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_112009.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_112009.7z","23662948","23662948","False","2","failed","ERROR: Data Error : CAGEDEST_112009.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_112015.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_112015.7z","24989313","24989313","False","2","failed","ERROR: Data Error : CAGEDEST_112015.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_122010.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_122010.7z","25716416","25716416","False","2","failed","ERROR: Data Error : CAGEDEST_122010.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_122014.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_122014.7z","27529027","27529027","False","2","failed","ERROR: Data Error : CAGEDEST_122014.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_122017.7z","data\raw\mte\redownload_attempts_2026-05-19\CAGEDEST_122017.7z","19838273","19838273","False","2","failed","ERROR: Data Error : CAGEDEST_122017.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
