Covariate,Treated,Retail volume,Services volume,Formal hiring,Construction,ICMS,Tax revenue
ICMS secondary VA pc,30.496,24.467,32.991,36.398,25.038,31.103,31.660
ICMS tertiary VA pc,56.860,44.313,48.279,54.681,43.161,49.846,51.312
ICMS energy VA pc,17.193,10.612,13.398,12.761,10.527,13.244,13.156
ICMS fuels VA pc,16.401,19.117,23.923,24.044,20.112,21.544,21.150
FPE transfer pc, 3.405,37.798,19.530,17.553,25.597,19.855,18.313
IOF-state pc, 0.000, 0.003, 0.001, 0.001, 0.002, 0.000, 0.000
