Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Retail volume,108.72,108.71,1.34,36
Services volume,114.08,113.91,2.68,36
Formal hiring,53.68,53.03,27.13,36
Construction,11.67,9.82,12.83,36
ICMS,5.09,5.10,0.06,36
Tax revenue,5.26,5.26,0.07,36
