outcome,short_label,channel_slug,post_pre_rmspe_ratio,donor_placebo_count,ratio_p_value,abs_gap_p_value
retail,Retail volume,consumption,3.3090593568731688,26,0.11538461538461539,0.2692307692307692
services,Services volume,consumption,2.3165324883711116,26,0.3076923076923077,0.5
formal_hiring,Formal hiring,labor_market,1.1922696608517194,26,0.34615384615384615,1
construction,Construction,labor_market,1.0409186175327731,26,0.5769230769230769,1
icms_confaz,ICMS,public_sector,2.136801646733256,26,0.11538461538461539,0.2692307692307692
tax_confaz,Tax revenue,public_sector,1.9143643192131106,26,0.15384615384615385,0.6153846153846154
