state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,icms_confaz,tax_confaz,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
AC,2011-04-01,2011,4,63.4658881432644,105.590062633869,-7.98329662589159,-37.6722871015345,4.3051406154027,4.3775823507279,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-36,48861306,354,746386,,,65.46385650320343,,,
AC,2011-05-01,2011,5,63.5365508053486,106.549305091948,-32.7552574506526,-23.8924011677771,4.30326286309817,4.33935569620574,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-35,45573643,228,746386,,,61.05908069015228,,,
AC,2011-06-01,2011,6,61.4646734527582,104.590693100992,79.0305821444129,32.4514428160576,4.28792797957456,4.35805526529982,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-34,46098133,939,746386,,,61.761786796644095,,,
AC,2011-07-01,2011,7,63.7872018961609,108.53258016414,13.63945301334,-14.568868743647,4.33163746771439,4.38587189806691,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-33,48113198,499,746386,,,64.46154938597455,,,
AC,2011-08-01,2011,8,64.8346456084641,107.749992438514,-22.6609046683635,-7.18615502674365,4.29762569705732,4.39588049248076,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-32,46923816,153,746386,,,62.868028071266075,,,
AC,2011-09-01,2011,9,65.0830780874525,109.545100507556,3.64046860368839,-13.9278576695219,4.32928245271686,4.38883942056064,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-31,50258272,86,746386,63.695339665574785,4.154111399235729,67.33549664650731,382.94979809374775,5.947903905116262,3.0265840999161293
AC,2011-10-01,2011,10,59.9716543641012,106.054063658409,3.17103582761082,-30.9001182519168,4.24283947392635,4.26525948081726,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-30,45830317,-40,746386,63.11296736904758,4.144926253490118,61.40296977703226,378.88891136757655,5.937243052269256,2.498707103295078
AC,2011-11-01,2011,11,64.4636902474195,107.594138153793,10.5169244665163,-3.65086340315565,4.22513259530201,4.3057747305502,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-29,45472480,-264,746386,63.26749060939274,4.147371620753675,60.92354358200716,378.75337425943144,5.936885265719687,1.8395307521845266
AC,2011-12-01,2011,12,73.0875335458864,112.538314261827,13.4434405680494,-3.65179773959306,4.31839807880291,4.36001644470914,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-28,49361192,-795,746386,65.20463395824744,4.177530539386298,66.1335984329824,383.12518589576973,5.948361791899545,-0.48366394868070944
AC,2012-01-01,2012,1,69.0788529901842,104.099943094654,7.58147382376913,8.45148499138871,4.26653688812216,4.37935679525673,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-27,42018469,-240,758786,66.08657580725132,4.19096563708325,55.375914948351706,374.0395514581469,5.924361544385014,-1.4496841006555208
AC,2012-02-01,2012,2,68.8245653470684,98.7419945910079,-1.98781003527293,-8.84195659105811,4.26293197201851,4.36230323156006,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-26,44901505,61,758786,66.75156243035204,4.2009777042027,59.175452630913064,370.3469760177939,5.91444033922492,-1.5709304072558008
AC,2012-03-01,2012,3,72.2019434947702,103.314471763659,-24.9358783205733,9.96596911101373,4.53164899669341,4.59161185921153,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-25,64228228,-580,758786,67.93803999823832,4.218596113305969,84.64603722261613,387.6575165939027,5.960122260632799,-2.4486482354708707
AC,2012-04-01,2012,4,71.6190222616243,100.37985081318,73.2001649935853,39.8589998978775,4.65696685934758,4.71261250045157,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-24,73270103,970,758786,69.87926798115883,4.246769009841195,96.56227579317489,422.81682261004534,6.046939041780805,-1.1175746521417105
AC,2012-05-01,2012,5,72.0843380954612,107.211289726907,47.1313534130114,-15.2727654421935,4.6463301804982,4.67540266106765,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-23,68967875,812,758786,71.14937595583245,4.264781553672836,90.89239258499761,452.7856716130358,6.115418882424149,0.30047997722678066
AC,2012-06-01,2012,6,74.051514784768,104.904687449011,4.31017551054158,-23.7374499308152,4.64586590522782,4.69611812181258,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-22,70184999,403,758786,71.31003949564605,4.2670371238985085,92.49643377711239,479.1485069571658,6.172010584761053,1.8793177523043387
AC,2012-07-01,2012,7,75.1361004066628,104.797300187281,15.6191221300979,9.95786133088858,4.65634862670033,4.70181043654787,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-21,70989589,474,758786,72.31958073172582,4.281094918662882,93.55679862306368,517.3293906318778,6.248679790844745,2.8202945230934677
AC,2012-08-01,2012,8,75.3128392628807,107.332595866124,24.5531208733317,-18.9752003616662,4.61514840907031,4.68679996186982,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-20,67826813,458,758786,73.40095971769453,4.295937010707941,89.38859309475926,547.5425310957239,6.305440141040156,3.343498693966415
AC,2012-09-01,2012,9,71.700779620429,107.578645241975,-34.9330608781133,-16.7166976330912,4.61148769533566,4.66166552448834,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-19,70017555,-101,758786,73.31743240530433,4.294798403336288,92.27576022752133,555.1722541006292,6.31927843334121,3.974770225070046
AC,2012-10-01,2012,10,73.9476905645754,107.566770699446,-13.443004205531,-0.459751827707549,4.57862417445351,4.60586215487445,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-18,68498327,-293,758786,73.70554378912952,4.3000780173857285,90.27357779400252,548.8835561014567,6.307886317193918,2.3102692985901165
AC,2012-11-01,2012,11,71.0909972934523,115.00733754115,-28.9169343789139,-22.357158258761,4.54386799737182,4.60653268511369,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-17,67834902,-553,758786,73.53998698879471,4.297829298946196,89.39925354447763,547.3904170609368,6.3051622901708,0.5113431191403109
AC,2012-12-01,2012,12,71.045941629909,110.32674475843,-154.797355622517,-21.7126972957988,4.54397555112592,4.58745700466312,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-16,67505481,-1920,758786,73.03905812965154,4.290994340935928,88.96511137527577,543.8590946591002,6.29869019613443,-2.550126122516757
AC,2013-01-01,2013,1,71.7278914236208,107.78304676067,-24.4738120299847,-20.7682722209093,4.49158797324153,4.56830710807062,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-15,58929292,-503,776463,72.47102329914453,4.283186803335347,75.89452684802752,526.196822884064,6.265675330739359,-3.7503396813499164
AC,2013-02-01,2013,2,71.4112593577937,106.352997620827,-7.57430110053604,-5.73462702153815,4.45992176490148,4.53012220712204,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-14,59254424,-107,776463,71.82075998163003,4.274173570496755,76.31326154626814,513.121491335573,6.240512642347647,-4.477998307710735
AC,2013-03-01,2013,3,72.3943582041035,107.155560617513,1.99328212685175,-5.09173809556159,4.45186524470122,4.51511480574919,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-13,65068897,-328,776463,71.93635641224245,4.2757817893929975,83.80167116784702,504.64740227589857,6.223859972095871,-4.770349649629152
AC,2013-04-01,2013,4,73.2766914189382,108.505034293537,16.4099280068099,5.77502060069084,4.70707146254627,4.77435485370019,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-12,82819918,420,776463,71.82452322130291,4.274225966782798,106.66305799503647,521.0368824769325,6.255820830950118,-3.852083099903022
AC,2013-05-01,2013,5,74.4192493418566,106.895984016573,12.6846732143292,21.6593259267215,4.47117965357156,4.52743078797184,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-11,63007407,571,776463,72.37923189603697,4.281919405977008,81.14669597907434,512.7843249115292,6.239855337494037,-2.404493195425925
AC,2013-06-01,2013,6,73.9246416551642,114.827328550353,-29.8448726268571,-7.587082611296,4.4456204749905,4.51475925220135,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-10,62288980,199,776463,72.8590152335795,4.2885262756172615,80.22144004286102,504.0406535791145,6.222656926681698,0.32454862627066583
AC,2013-07-01,2013,7,74.8239322114286,114.668140795855,-28.0621494580981,-13.4941665129261,4.44726318821821,4.5132654904008,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-9,62324974,105,776463,73.37502203154746,4.295583578407806,80.26779640498002,508.413923136067,6.2312959251245434,1.1075865817173516
AC,2013-08-01,2013,8,73.6654490550626,106.132064736132,-43.8029930965028,-8.94961687729125,4.42547842441324,4.49085960960328,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-8,60042788,-47,776463,73.75072031442562,4.300690762147496,77.32858874151118,509.4292503313101,6.233290982041918,1.1848600641627482
AC,2013-09-01,2013,9,73.6835546821935,111.788350421987,19.7617472715434,2.97463053064451,4.45916443086987,4.52205076923075,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-7,63935992,268,776463,73.96558639410728,4.303599936307193,82.34261259068366,507.9701917541467,6.230422768207564,1.9524433231203548
AC,2013-10-01,2013,10,78.5422314711689,114.314087225068,27.4533817179744,11.0302821608099,4.61573098471865,4.65555899597863,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-6,76190373,-9,776463,74.8431764028124,4.3153949430869005,98.12492417539535,499.43205793450556,6.213471568685889,1.399937923635769
AC,2013-11-01,2013,11,80.3805150472179,115.672374584109,42.5033516039616,58.7208890689778,4.5828264901365,4.64229015875529,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-5,77117068,16,776463,75.83672068703927,4.32858261712581,99.31840667230763,517.6037686277389,6.249210024125677,0.6851582110158501
AC,2013-12-01,2013,12,83.0188635230039,120.370767836056,1.14700732096399,11.6989024433862,4.48169682150011,4.53859858085882,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-4,70980187,-690,776463,77.35242433167923,4.348371918889636,91.41477056859117,528.797099153469,6.2706048028065995,-0.45977722055010994
AC,2014-01-01,2014,1,81.1755306408753,120.372678258744,21.2810878500527,14.0922161290366,4.4669675290362,4.54219514102258,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-3,64252207,-72,790101,78.41102406992034,4.361964530608001,81.3215107941896,529.8508135426786,6.272595483040405,-0.6758629592925461
AC,2014-02-01,2014,2,81.8696969611878,124.529453717812,51.2105656017405,-0.0393820678507097,4.50860830161996,4.58551711015043,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-2,67533054,308,790101,79.77839872094121,4.379252775091841,85.47395079869536,537.9961755998628,6.287851451586078,-0.22655331406997334
AC,2014-03-01,2014,3,77.3459929716935,122.832367216701,-71.1874725329547,-22.828641300687,4.25184481532869,4.32872381337941,FALSE,TRUE,FALSE,pre,TRUE,2013-07-17,2014-04-03,,-1,57513295,-872,790101,80.38880510252454,4.386874926471778,72.79233287896105,528.4458958881402,6.269940427105093,-1.6694068226720382
AC,2014-04-01,2014,4,74.0071349915372,121.787078362554,-40.7963202177144,-32.0650198491345,4.56085026611407,4.62270320708222,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,0,75384157,-113,790101,79.6329556892526,4.377428023365921,95.4107854565429,525.7317571692877,6.264791115301362,-1.8010355638076652
AC,2014-05-01,2014,5,87.9151340274167,119.420337825453,-23.5563665452831,-1.99655992788416,4.67970141758019,4.73197890549115,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,1,82594338,322,790101,80.88872551928573,4.393074451179267,104.53643015260074,530.9497806495808,6.274667441721567,-1.413743306235532
AC,2014-06-01,2014,6,84.5860585694267,111.154797975157,-1.39543337359106,-2.98666661617432,4.70224407747238,4.74815212650829,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,2,85727047,369,790101,81.14992469368953,4.396298365971131,108.50137767196853,548.0363877529581,6.306341685752614,-0.0734083364025612
AC,2014-07-01,2014,7,84.9622660216381,117.304708368572,13.3296427524124,22.2107734427662,4.57955639017982,4.63950777391229,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,3,76502726,412,790101,81.781047257149993,4.404045520640147,96.82651458484422,563.5413915436128,6.334240785163047,0.5391715742670874
AC,2014-08-01,2014,8,87.4197737109321,117.1012578781,-6.6634059848042,-7.28115004811037,4.56833373398051,4.6288994014923,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,4,74448253,267,790101,82.70606004877405,4.415292876839226,94.22624828977561,572.293689034693,6.349652301981711,0.48727947439631136
AC,2014-09-01,2014,9,88.2634679339648,115.987230746996,-23.002791174459,-19.0196182954191,4.53121692521964,4.61691028317867,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,5,73926939,-90,790101,84.5256392091526,4.437054910933324,93.56644150557966,593.0677976613117,6.385308722414177,1.4770263548584295
AC,2014-10-01,2014,10,86.9032433550252,118.26528080698,-17.9124857263779,-34.7126274990154,4.58231433750295,4.63844847805888,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,6,79842059,-385,790101,86.67499060306727,4.462165383155359,101.05297803698514,598.7099902417539,6.394777324349217,1.1327665703498666
AC,2014-11-01,2014,11,87.8777145007223,116.797793151312,-33.9192716096533,-36.5718802881197,4.50260108662123,4.5715197957316,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,7,78383597,-525,790101,86.66875401528486,4.462093426849132,99.20705960377218,593.3806196929254,6.385836047554127,0.06075172667798168
AC,2014-12-01,2014,12,92.718285898549,115.210585900844,-1.9902941145181,-21.2969871675034,4.48731205716302,4.55682910592367,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,8,80801401,-685,790101,88.02412523680525,4.477610927324089,102.2671797656249,587.1464217865818,6.375274229585898,-1.2732549382926992
AC,2015-01-01,2015,1,87.6983643067326,115.762687812428,-43.4028872543107,-31.6309348378157,4.66606817356442,4.73178261488313,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,9,88634593,-466,803513,88.48014161765434,4.482778138333937,110.30884752331325,600.6287547250507,6.397977031068265,-2.3447038193532648
AC,2015-02-01,2015,2,85.5781761293324,113.151798441881,-54.6441596768049,-29.6314843924086,4.63853626906652,4.70689371973134,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,10,83833023,-577,803513,88.17320868738771,4.479303160490608,104.333125910844,610.7356323461191,6.414664185253887,-3.3950913053055767
AC,2015-03-01,2015,3,87.7233916928863,115.124456033315,-23.4620430232084,-17.0589392093782,4.62457699013253,4.68315855519661,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,11,91002220,-500,803513,88.0831959805413,4.478281776730497,113.25544204014123,630.4246328806807,6.446393612781342,-3.9053506290501834
AC,2015-04-01,2015,4,85.1573183706114,115.484442125786,0.138348029204957,-19.7286139320682,4.43515443271485,4.51135974730699,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,12,70960402,95,803513,87.792208483139,4.4749727550534,88.31269935894005,617.6843542026356,6.425977573261163,-3.307973859788205
AC,2015-05-01,2015,5,86.1185277519687,115.84800595683,-37.847434639029,-24.8164230689949,4.41188489733207,4.48031304331522,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,13,68546373,193,803513,87.49901069168007,4.471627486918852,85.30835593201354,603.785650530877,6.403219251721835,-2.4143977757671626
AC,2015-06-01,2015,6,82.878915396394,107.130309179947,-30.496562797579,-20.3287546736022,4.40912615400609,4.48473636882521,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,14,69205599,95,803513,85.85911560798758,4.452707762347227,86.12878571970833,587.6472564849604,6.37612686394712,-1.4436605257164477
AC,2015-07-01,2015,7,80.8941445451624,110.304677555677,-48.9005475168562,-24.6568556469721,4.45202768053873,4.54749563178048,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,15,74905658,-83,803513,84.7250789810592,4.439411649697569,93.22270828225554,570.5611172439027,6.346620292826081,-0.9670036452428274
AC,2015-08-01,2015,8,81.618525231726,112.044153309215,108.511072927962,-16.5012021968671,4.54227272883024,4.60773869856298,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,16,80824692,1179,803513,84.06513716479147,4.431591940781157,100.58915288240514,566.8171442154638,6.340036754739929,1.2183997023072433
AC,2015-09-01,2015,9,79.5782118049097,113.713904025746,-31.3880327832469,-12.1805797163949,4.5072548224329,4.57119471289429,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,17,80061937,-122,803513,82.70760718346203,4.415311583089005,99.6398776373251,553.2015798126477,6.315722455557761,1.6888339081010513
AC,2015-10-01,2015,10,78.9449048895237,111.012644912396,-69.0542321865885,-7.81408264394113,4.407464121224,4.51299115500887,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,18,74972934,-733,803513,81.67220493661408,4.402713735127623,93.30643561460735,558.195316068315,6.324708929931787,0.6583589811241386
AC,2015-11-01,2015,11,75.9531554855012,109.044101371157,-53.8131264866017,-4.07255331017065,4.59969963442948,4.6618497051115,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,19,97590891,-754,803513,79.97797622553617,4.381751299591858,121.45527328120392,594.3422334175054,6.38745530398617,-0.5202156032323061
AC,2015-12-01,2015,12,78.8560644774014,104.808271539959,-45.7439680888023,-20.1543213261072,4.52184376888863,4.58255716084427,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,20,98639314,-973,803513,79.30750107237074,4.373332715243903,122.76007233237048,630.9735200301675,6.447263896573756,-1.849378914840208
AC,2016-01-01,2016,1,78.5955880248827,110.215226488542,-29.7128669400806,-17.1504514687067,4.52052059229101,4.5798694270732,FALSE,TRUE,FALSE,post,FALSE,2013-07-17,2014-04-03,,21,89374049,-286,816687,78.92440831899079,4.368490537665759,109.43488631507542,647.1856980629874,6.472633267327968,-2.0681117735435977
