Covariate,Treated,Varejo MA6 (log),ICMS CONFAZ 6m pc (log)
ICMS secondary VA pc, 3.244, 7.331, 3.463
ICMS tertiary VA pc, 7.933,24.806,13.813
ICMS energy VA pc, 1.724, 3.725, 2.738
ICMS fuels VA pc, 5.212, 7.898, 6.184
FPE transfer pc,27.446,46.102,33.015
IOF-state pc, 0.000, 0.001, 0.000
