period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2015-02-01,pre,7.4647627290493e-5,0.025325514098908302,-0.06709186219243837,1e-4,0.8987385669151637,-0.04176634809353007,-0.025250866471617808,0.04184099572082056,public_investment_share_total
2015-04-01,pre,0.02281812268842623,0.02023727130169176,-0.04843773933249134,1e-4,0.8034885222681412,-0.02820046803079958,0.0025808513867344694,0.051018590719225806,public_investment_share_total
2015-06-01,pre,0.04689307118082582,0.042625037985076664,0.0015993712671116711,0.039194067748472214,0.1742324616285888,0.04422440925218833,0.004268033195749157,0.002668661928637489,public_investment_share_total
2015-08-01,pre,0.04402195949458767,0.08001198317928884,-0.03468032686030222,1e-4,0.2828313536044017,0.04533165631898662,-0.035990023684701174,-0.001309696824398951,public_investment_share_total
2015-10-01,pre,0.0735912108609051,0.07031979744715094,0.0043529032573954105,1e-4,0.5022676683911952,0.07467270070454636,0.0032714134137541567,-0.001081489843641259,public_investment_share_total
2016-02-01,pre,1.8494981551962e-4,0.009715018836403997,-0.00844489886575897,1e-4,0.21330161240904122,0.0012701199706450263,-0.009530069020884376,-0.0010851701551254063,public_investment_share_total
2016-06-01,pre,0.02023060442920877,0.037222340736818495,-0.011287610326565643,0.019414919457438815,0.3001749812633949,0.025934730410252852,-0.016991736307609726,-0.005704125981044084,public_investment_share_total
2016-08-01,pre,0.08184654022659682,0.048277036865460136,0.025753786522696817,0.019414919457438815,0.20367234943491633,0.07403082338815695,0.033569503361136684,0.007815716838439873,public_investment_share_total
2016-10-01,pre,0.03080844657622106,0.03833066259756978,-0.009738699392268402,0.9249147277217336,0.23089421966346224,0.028591963205301378,-0.00752221602134872,0.002216483370919682,public_investment_share_total
2017-04-01,pre,0.02772856664793406,0.032415628653889916,-0.003232677191700141,1e-4,0.18730751964275882,0.029182951462189775,-0.004687062005955856,-0.0014543848142557145,public_investment_share_total
2017-06-01,pre,0.02637863894242139,0.03109217086227257,-0.011546922295702726,1e-4,0.15177050827889868,0.019545248566569848,-0.004713531919851181,0.0068333903758515425,public_investment_share_total
2017-08-01,pre,0.05087551355803237,0.044324381336876606,0.011956908898035218,0.9249147277217336,0.28845699451567836,0.056281290234911824,0.0065511322211557615,-0.005405776676879456,public_investment_share_total
2017-10-01,pre,0.03749835577158229,0.04273896399869501,-0.011881883045824467,0.6509675230458171,0.2810983687275689,0.03085708095287055,-0.005240608227112725,0.00664127481871174,public_investment_share_total
2017-12-01,pre,0.0555334744802524,0.05328009589050985,0.004198169111618915,1e-4,0.14671077806228974,0.05747826500212877,0.002253378589742547,-0.0019447905218763703,public_investment_share_total
2018-02-01,pre,0.00670344060645299,0.01442031525889696,-0.007713056908892114,1e-4,0.25692875861098946,0.006707258350004847,-0.007716874652443971,-3.8177435518569475e-6,public_investment_share_total
2018-04-01,pre,0.02252340906929174,0.028457869173865627,-0.0015539629682787758,8.227241341700474e-4,0.24902178334170497,0.02690390620558685,-0.005934460104573887,-0.004380497136295111,public_investment_share_total
2018-06-01,pre,0.03233437549094895,0.03433656718949506,-0.0034052536603874713,0.019414919457438815,0.2228031132428783,0.030931313529107586,-0.0020021916985461102,0.0014030619618413606,public_investment_share_total
2018-08-01,pre,0.03507748288810102,0.052709228531369424,-0.023904460403448676,1e-4,0.19794360690853274,0.02880476812792075,-0.0176317456432684,0.006272714760180275,public_investment_share_total
