state_abbrev,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.11774327090480552,0.4985548017112391,2683.697249046261,0.29246196084615034,260.9215892328369,344.1821599968144,153.04371523056577,TRUE,FALSE,
AL,0.14353494752244397,0.5353302482409297,2131.8055630791787,0.2331254772351681,94.22402668439366,68.8569533674061,86.70344603280158,FALSE,TRUE,coded_removal_in_scm_window:AL_2022_01
AM,0.12485648145369369,0.4310642286858872,2602.715443504912,0.11808305665930052,170.74906195742707,155.3069925115899,105.21234206460076,TRUE,FALSE,
AP,0.14919988604116358,0.4974356585429344,2937.5933635015585,0.30988975596606444,212.932223688745,299.73868185090936,160.00444191312317,TRUE,FALSE,
BA,0.15175175253855505,0.4572117176080028,2179.2844514875337,0.14833262696402022,114.7772069492032,83.4855363772525,69.61832012799715,TRUE,FALSE,
CE,0.10580357166027052,0.45915412553001056,2196.1053037152924,0.17026013503638193,94.36361177656926,83.07456855499548,66.05057909067492,TRUE,FALSE,
DF,0.11744236134643908,0.7186184935332378,5935.722804965035,0.05672655064708534,349.3461568851049,435.0632762463117,64.95428276738937,TRUE,FALSE,
ES,0.10097234466770362,0.6026259132283256,3112.6478789126095,0.19251664080392053,163.0416007536929,83.30190682103093,82.92186626058782,TRUE,FALSE,
GO,0.0892144634651667,0.6014335976866937,3100.971200814021,0.0747050953339571,135.25525368455845,152.398241010844,106.38057665554778,TRUE,FALSE,
MA,0.11971932005936592,0.3889938250213663,1784.2209833138993,0.2595617379099205,76.39712816739521,85.19686738284283,55.457882608707315,TRUE,FALSE,
MG,0.09781519893080308,0.6126178980801273,2909.882136243889,0.05122537143575229,83.29826293092601,108.4573663158808,171.85285331009814,TRUE,FALSE,
MS,0.07213640361563628,0.6344249269088704,3301.544940783958,0.07319029618945061,104.38166764831156,153.26563619518095,110.03637042710692,TRUE,FALSE,
MT,0.07301883385664729,0.6123635013589432,3309.6128479818076,0.08815673369486265,122.03836483930309,179.30074258940726,149.21954465070897,TRUE,FALSE,
PA,0.09869725266330324,0.38833924912362067,2211.415542552883,0.14538177815437675,86.22451622434885,101.24865053960488,77.0302731467563,TRUE,FALSE,
PB,0.11233340997450224,0.4836174752660956,2295.733294910894,0.22143210916276115,84.53541110481756,123.61895199013232,75.91500516218494,TRUE,FALSE,
PE,0.1376581139227001,0.5135015937452544,2565.216695800693,0.14352912245634242,140.65351287331535,78.88928155111017,69.3634457634343,TRUE,FALSE,
PI,0.10378109574065392,0.4168987985586684,2026.000255033277,0.24460006298443868,124.45575499071654,105.80919957222774,51.96983885881773,TRUE,FALSE,
PR,0.07205877435466743,0.6694874019192931,3569.8924210898963,0.06760146524372972,101.3477870874833,208.89584318582789,79.20188197188291,TRUE,FALSE,
RJ,0.11903638788268094,0.6437249325698088,3710.085732774021,0.03890129530584615,85.27238728023667,92.59841721211608,137.4671037491674,FALSE,TRUE,coded_removal_in_scm_window:RJ_2020_01
RN,0.13236214315797473,0.5381342379669041,2422.9280072992524,0.20862756581875297,98.38214821208786,97.42649758724082,68.1335723260051,TRUE,FALSE,
RO,0.07452404668209928,0.5101956400824397,2679.6553313581403,0.19817072789444268,145.85067580370293,155.6872507720222,121.1655160994146,TRUE,FALSE,
RR,0.10640104928433008,0.5469726568823271,3247.495470818246,0.3012618090230987,289.1715060988791,280.8845169429349,157.01149106390994,FALSE,TRUE,coded_removal_in_scm_window:RR_2018_01
RS,0.07205974606506488,0.6744101358297547,3593.110084531577,0.06460080908165008,133.44323907166543,87.80293041561454,92.58684930059223,TRUE,FALSE,
SC,0.05164432669685285,0.731376745479455,3593.386161773994,0.05451931098905194,114.89982119903657,117.2190666818654,79.97273842137258,FALSE,TRUE,"coded_removal_in_scm_window:SC_2020_01,SC_2021_01"
SE,0.13638064663722343,0.475213803613335,2433.3739409020054,0.2531697301320402,132.68595616721214,106.98968284106934,102.95451128759584,TRUE,FALSE,
SP,0.11070357546822536,0.7033075588325853,4325.6530450716355,0.04484706515792316,132.3393956830217,181.25778308802677,64.15674772625769,TRUE,FALSE,
TO,0.10212052539206816,0.5558681985666797,2659.3767474893266,0.25523422176900123,251.79870601299817,181.0932421912904,139.96531036133453,FALSE,TRUE,treated_unit
