period,period_date,analysis_period,rows,n_states,n_main_donors,treated_present
2015B1,2015-02-01,pre,27,27,24,TRUE
2015B2,2015-04-01,pre,27,27,24,TRUE
2015B3,2015-06-01,pre,27,27,24,TRUE
2015B4,2015-08-01,pre,27,27,24,TRUE
2015B5,2015-10-01,pre,27,27,24,TRUE
2015B6,2015-12-01,pre,27,27,24,TRUE
2016B1,2016-02-01,pre,27,27,24,TRUE
2016B2,2016-04-01,pre,27,27,24,TRUE
2016B3,2016-06-01,pre,27,27,24,TRUE
2016B4,2016-08-01,pre,27,27,24,TRUE
2016B5,2016-10-01,pre,27,27,24,TRUE
2016B6,2016-12-01,pre,27,27,24,TRUE
2017B1,2017-02-01,pre,27,27,24,TRUE
2017B2,2017-04-01,pre,27,27,24,TRUE
2017B3,2017-06-01,pre,27,27,24,TRUE
2017B4,2017-08-01,pre,27,27,24,TRUE
2017B5,2017-10-01,pre,27,27,24,TRUE
2017B6,2017-12-01,pre,27,27,24,TRUE
2018B1,2018-02-01,pre,27,27,24,TRUE
2018B2,2018-04-01,pre,27,27,24,TRUE
2018B3,2018-06-01,pre,27,27,24,TRUE
2018B4,2018-08-01,pre,27,27,24,TRUE
2018B5,2018-10-01,pre,27,27,24,TRUE
2019B1,2019-02-01,post,27,27,24,TRUE
2019B2,2019-04-01,post,27,27,24,TRUE
2019B3,2019-06-01,post,27,27,24,TRUE
2019B4,2019-08-01,post,27,27,24,TRUE
2019B5,2019-10-01,post,27,27,24,TRUE
2019B6,2019-12-01,post,27,27,24,TRUE
2020B1,2020-02-01,post,27,27,24,TRUE
2020B2,2020-04-01,post,27,27,24,TRUE
2020B3,2020-06-01,post,27,27,24,TRUE
2020B4,2020-08-01,post,27,27,24,TRUE
2020B5,2020-10-01,post,27,27,24,TRUE
2020B6,2020-12-01,post,27,27,24,TRUE
