state_abbrev,monthly_pre_periods,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,20,0.077,0.468,2531,0,268.9615920772169,344.03849843351975,153.64402546660529,TRUE,FALSE,
AL,20,0.114,0.5389999999999999,2170,0,88.59145412611066,87.44570984078067,91.44152437459083,TRUE,FALSE,
AM,20,0.093,0.459,2679,0,185.04856325698773,165.17709455410647,100.6350257830004,FALSE,TRUE,treated_unit
AP,20,0.13,0.512,3101,0,204.29061684913097,308.8833132604932,172.24160108084482,TRUE,FALSE,
BA,20,0.124,0.455,2166,0,106.44902463326143,88.81666316141803,70.87526348500114,TRUE,FALSE,
CE,20,0.091,0.46,2123,0,89.17934081356853,83.28953312414299,57.474729775246225,TRUE,FALSE,
DF,20,0.098,0.747,6112,0,628.275404037383,666.3494033312,60.46446108381403,TRUE,FALSE,
ES,20,0.092,0.635,3198,0,170.90101486935635,93.08188241781896,90.56441369285733,TRUE,FALSE,
GO,20,0.078,0.613,3028,0,118.4926220515211,158.57759339807973,107.41973095113977,TRUE,FALSE,
MA,20,0.084,0.351,1679,0,67.01258948096032,93.34228506185943,47.47684533617461,TRUE,FALSE,
MG,20,0.094,0.625,2946,0,87.47970929474306,106.8875988099682,178.73035438010243,TRUE,FALSE,
MS,20,0.06,0.619,3148,0,88.29670844680331,149.0233798096123,116.71150445809367,TRUE,FALSE,
MT,20,0.05799999999999999,0.611,3140,0,121.94249333516953,168.77726572204895,122.9825581256281,TRUE,FALSE,
PA,20,0.087,0.391,2082,0,78.29274238776819,105.93749484380795,75.8436672849833,TRUE,FALSE,
PB,20,0.097,0.481,2200,0,79.48013784315063,119.0943605254341,66.83828336752848,TRUE,FALSE,
PE,20,0.111,0.536,2431,0,138.66466763481935,90.81644916235831,66.70798021543561,TRUE,FALSE,
PI,20,0.073,0.4179999999999999,2072,0,109.78121184670837,105.37283374206645,20.593305177514367,TRUE,FALSE,
PR,20,0.059,0.683,3476,0,90.98421353838691,223.74502557816356,83.73768896385941,TRUE,FALSE,
RJ,20,0.087,0.687,3597,0,89.53489391114186,109.22975592569503,152.25868138027766,TRUE,FALSE,
RN,20,0.123,0.554,2518,0,88.5085088281435,94.5402469260146,62.05268209457438,TRUE,FALSE,
RO,20,0.065,0.518,2654,0,143.66411023992467,162.00095691882427,150.16893960031672,TRUE,FALSE,
RR,20,0.08199999999999999,0.569,3013,0,283.62539497838736,313.85827106657854,168.7210741255588,FALSE,TRUE,coded_rupture_in_main_estimation_window:RR_2018_01
RS,20,0.067,0.6839999999999999,3511,0,126.00196526269026,112.58841306552364,78.15713071014899,TRUE,FALSE,
SC,20,0.043,0.738,3540,0,111.0046833602442,126.77875033642437,85.13855391573809,TRUE,FALSE,
SE,20,0.101,0.498,2322,0,120.76913782788793,112.69708727015073,101.45696442723049,TRUE,FALSE,
SP,20,0.102,0.734,4479,0,137.0849842982686,206.17452915257957,73.63814129368745,TRUE,FALSE,
TO,20,0.09,0.567,2632,0,238.01563121151855,171.39689096366214,122.50467366914911,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01
