state_abbrev,state_name,macroregion,uf,period_date,year,month,formal_hiring_balance,formal_hiring_balance_construction,retail_volume_index,services_volume_index,quarter,pnadc_population,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,event_time,analysis_period,pre_instability_clean,formal_hiring_balance_per_100k_wap,formal_hiring_balance_construction_per_100k_wap,instability_start_date,removal_date,formal_hiring_balance_per_100k_wap_ma6_v5,formal_hiring_balance_construction_per_100k_wap_ma6_v5,retail_volume_index_ma6_v5,services_volume_index_ma6_v5,plot_time_ma6_v5
AC,Acre,North,12,2014-05-01,2014,5,322,99,100,100,2,555000,FALSE,TRUE,FALSE,,-20,pre,TRUE,58.01801801801802,17.83783783783784,2016-01-25,2017-05-04,,,,,-20
AC,Acre,North,12,2014-06-01,2014,6,369,196,90.31791597547873,90.97869746881601,2,555000,FALSE,TRUE,FALSE,,-19,pre,TRUE,66.48648648648648,35.31531531531532,2016-01-25,2017-05-04,,,,,-19
AC,Acre,North,12,2014-07-01,2014,7,412,383,96.24277117315565,98.83468647782571,3,562000,FALSE,TRUE,FALSE,,-18,pre,TRUE,73.30960854092527,68.14946619217082,2016-01-25,2017-05-04,,,,,-18
AC,Acre,North,12,2014-08-01,2014,8,267,22,97.97687678554534,100.96485640173685,3,562000,FALSE,TRUE,FALSE,,-17,pre,TRUE,47.50889679715303,3.9145907473309607,2016-01-25,2017-05-04,,,,,-17
AC,Acre,North,12,2014-09-01,2014,9,-90,-111,94.94219760851792,96.11237978084408,3,562000,FALSE,TRUE,FALSE,,-16,pre,TRUE,-16.01423487544484,-19.750889679715304,2016-01-25,2017-05-04,,,,,-16
AC,Acre,North,12,2014-10-01,2014,10,-385,-286,98.04912836373431,100.33052338401569,4,566000,FALSE,TRUE,FALSE,,-15,pre,TRUE,-68.02120141342756,-50.53003533568904,2016-01-25,2017-05-04,26.881262258951732,9.156047512875098,96.25481498440533,97.87019058553972,-15
AC,Acre,North,12,2014-11-01,2014,11,-525,-558,99.71098239793504,97.08518125624843,4,566000,FALSE,TRUE,FALSE,,-14,pre,TRUE,-92.75618374558304,-98.58657243816255,2016-01-25,2017-05-04,1.7522286316848892,-10.2480208664583,96.20664538406116,97.38438746158113,-14
AC,Acre,North,12,2014-12-01,2014,12,-685,-601,133.52600797160693,105.77962928036683,4,566000,FALSE,TRUE,FALSE,,-13,pre,TRUE,-121.02473498233215,-106.18374558303887,2016-01-25,2017-05-04,-29.499641613118214,-33.831197682850664,103.40799405008254,99.85120943017293,-13
AC,Acre,North,12,2015-01-01,2015,1,-466,-346,97.03757240116154,89.23598923696261,1,568000,FALSE,TRUE,FALSE,,-12,pre,TRUE,-82.04225352112677,-60.91549295774648,2016-01-25,2017-05-04,-55.391618623460225,-55.34202420783688,103.54046092141685,98.25142655669575,-12
AC,Acre,North,12,2015-02-01,2015,2,-577,-174,87.0664707745753,88.0983378822693,1,568000,FALSE,TRUE,FALSE,,-11,pre,TRUE,-101.58450704225352,-30.633802816901408,2016-01-25,2017-05-04,-80.2405192633613,-61.10008980187561,101.7220599195885,96.10700680345116,-11
AC,Acre,North,12,2015-03-01,2015,3,-500,-185,96.09826801677772,94.09852407153494,1,568000,FALSE,TRUE,FALSE,,-10,pre,TRUE,-88.02816901408451,-32.570422535211264,2016-01-25,2017-05-04,-92.24284161980125,-63.23667861112494,101.91473832096514,95.77136418523297,-10
AC,Acre,North,12,2015-04-01,2015,4,95,-30,90.75144802323068,95.30453633756396,2,567000,FALSE,TRUE,FALSE,,-9,pre,TRUE,16.75485008818342,-5.291005291005291,2016-01-25,2017-05-04,-78.1134997028661,-55.69684027034431,100.69845826421454,94.933699677491,-9
