period_date,bim_event_time,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmented_synthetic_value,scm_gap,augmented_gap,outcome,family
2015-06-01,-21,4.409896130167237,3.528628037030564,-0.45508903209350465,5.455594781168514,3.073539004937059,0.881268093136673,1.3363571252301778,investment_siconfi,bimonthly
2015-08-01,-20,4.202063090112506,4.252342664700318,-0.11795708371902297,0.2069138081114788,4.134385580981295,-0.050279574587812625,0.06767750913121073,investment_siconfi,bimonthly
2015-12-01,-18,5.115102968763965,3.709883018251605,-0.15449244231967435,5.455594781168514,3.5553905759319306,1.4052199505123601,1.5597123928320347,investment_siconfi,bimonthly
2016-02-01,-17,-1.538379335841115,2.806221309611255,-0.026241052725661858,143.8449888287663,2.7799802568855934,-4.3446006454523705,-4.318359592726709,investment_siconfi,bimonthly
2016-04-01,-16,3.833666307938207,3.6351464207062603,-0.24220554324563037,1.8329807108324339,3.3929408774606298,0.1985198872319467,0.4407254304775772,investment_siconfi,bimonthly
2016-06-01,-15,3.707586605657516,3.486503696865894,-0.25485591572661,1.8329807108324339,3.2316477811392836,0.2210829087916224,0.47593882451823255,investment_siconfi,bimonthly
2016-08-01,-14,4.3926796072351,3.3784034522348976,-0.2884218827427968,1.8329807108324339,3.089981569492101,1.0142761550002022,1.3026980377429989,investment_siconfi,bimonthly
2016-10-01,-13,3.6801246531687255,3.3065575892053394,-0.23137470678124986,5.455594781168514,3.0751828824240897,0.3735670639633861,0.6049417707446358,investment_siconfi,bimonthly
2016-12-01,-12,4.953036214650054,3.413129459651388,-0.11451472988899483,5.455594781168514,3.2986147297623933,1.539906754998666,1.6544214848876608,investment_siconfi,bimonthly
2017-02-01,-11,-0.7904750061121936,3.805408070766727,-0.03290365047795971,48.32930238571752,3.7725044202887674,-4.595883076878921,-4.562979426400961,investment_siconfi,bimonthly
2017-04-01,-10,3.7286914746042665,3.588849524297282,0.0627117538710626,0.615848211066026,3.651561278168345,0.13984195030698432,0.07713019643592167,investment_siconfi,bimonthly
2017-06-01,-9,3.79049646013016,3.580462146820144,-0.11641513073247325,5.455594781168514,3.4640470160876706,0.21003431331001599,0.3264494440424892,investment_siconfi,bimonthly
2017-08-01,-8,4.3821682504522625,3.4065574343524045,-0.27770254624809404,5.455594781168514,3.1288548881043106,0.975610816099858,1.253313362347952,investment_siconfi,bimonthly
2017-10-01,-7,4.069175660389917,3.42441915154175,-0.468541921342483,1.8329807108324339,2.9558772301992673,0.6447565088481673,1.1132984301906501,investment_siconfi,bimonthly
2017-12-01,-6,5.186510782269583,3.358957977464587,-0.18612394853953654,16.23776739188721,3.1728340289250503,1.8275528048049958,2.0136767533445323,investment_siconfi,bimonthly
2018-02-01,-5,1.719146549765285,4.173930031702331,0.06117197024267269,0.06951927961775606,4.235102001945004,-2.4547834819370458,-2.5159554521797185,investment_siconfi,bimonthly
2018-04-01,-4,3.4548315141512824,3.855024496803173,0.03592920861853728,0.615848211066026,3.8909537054217105,-0.4001929826518906,-0.43612219127042806,investment_siconfi,bimonthly
2018-06-01,-3,3.7957521025482985,3.6548237926778886,-0.022409031606398067,0.615848211066026,3.6324147610714905,0.14092830987040994,0.163337341476808,investment_siconfi,bimonthly
2018-08-01,-2,4.074235220747739,3.916059018947793,0.04349685339927055,1.8329807108324339,3.9595558723470634,0.15817620179994618,0.11467934840067562,investment_siconfi,bimonthly
2018-12-01,0,4.569183391654635,3.507310090171568,-0.049655004322667465,16.23776739188721,3.4576550858489004,1.0618733014830668,1.1115283058057344,investment_siconfi,bimonthly
2019-02-01,1,3.9273897880811433,1.627970221927949,-1.2668978840144442e-4,100000,1.6278435321395477,2.299419566153194,2.2995462559415953,investment_siconfi,bimonthly
2019-04-01,2,2.275432264807316,2.7947586450819975,-0.1319850138177177,48.32930238571752,2.6627736312642796,-0.5193263802746815,-0.3873413664569636,investment_siconfi,bimonthly
2019-06-01,3,2.3739580092423926,3.1319708822649397,-0.190315898106305,5.455594781168514,2.941654984158635,-0.758012873022547,-0.5676969749162422,investment_siconfi,bimonthly
2019-08-01,4,3.739583990073263,3.000361521606391,-0.10677107840964316,48.32930238571752,2.893590443196748,0.7392224684668722,0.8459935468765152,investment_siconfi,bimonthly
2019-10-01,5,3.2546306952006603,3.220665693821882,-0.027999988416521557,143.8449888287663,3.1926657054053607,0.033965001378778226,0.06196498979529963,investment_siconfi,bimonthly
2019-12-01,6,4.000647712562226,3.1415021530762504,-0.03668608977856742,143.8449888287663,3.104816063297683,0.8591455594859756,0.8958316492645428,investment_siconfi,bimonthly
2020-02-01,7,2.6878189263163432,3.2843208402421165,-0.4264584062602572,5.455594781168514,2.8578624339818592,-0.5965019139257732,-0.17004350766551601,investment_siconfi,bimonthly
2020-04-01,8,3.5073350676001964,3.084791505899066,-0.22528118533207428,16.23776739188721,2.8595103205669914,0.4225435617011306,0.647824747033205,investment_siconfi,bimonthly
2020-06-01,9,2.7154004430999708,2.8836760061897517,-0.01729033867752099,143.8449888287663,2.8663856675122306,-0.16827556308978098,-0.1509852244122598,investment_siconfi,bimonthly
2020-10-01,11,3.5496311916775785,2.753919161441601,-0.11446134995967842,48.32930238571752,2.6394578114819227,0.7957120302359773,0.9101733801956557,investment_siconfi,bimonthly
