donor_state,scm_weight
AP,0.38448197273452606
AC,0.33552605339154673
RS,0.16124386279242206
MG,0.07079176264492619
DF,0.04795634842173314
CE,1.023609638287389e-11
SP,3.1541406111708315e-12
AL,7.246378371990926e-13
MA,3.7748945443811366e-13
PB,3.334157177270456e-13
SE,1.93461602878496e-14
RN,4.647966779333226e-16
ES,1.6985382614543783e-16
PI,1.5864453045139126e-16
BA,0
GO,0
MS,0
MT,0
PA,0
PE,0
PR,0
RO,0
